Profile Name,Date,Data,Star
Wayne,"Reviewed in the United States on December 2, 2023","I have had plenty of toaster ovens that fail even at making toast. The GE no preheat makes toast and bagels perfect every time. The air fryer is a little loud but it works very well and heats fast.
It chimes and lights letting you know when it is almost and finally finished.
The control panel is glossy glass and does show fingerprints but that's a minor issue because it wipes off clean. It is a large oven able to fit 2-6 slices of bread, but when you pop open the door the shelf extends out for easy reach and the door lifts, so there is no chance of getting burnt.
The quality of the build is second to none, even better than some of the other $$$ high-end toaster-oven/air fryers.
Overall my wife and I love this unit, a little pricey but well worth it for the quality and the way the food is nicely cooked.
It's now part of the family.",5.0 out of 5 stars
JBertz,"Reviewed in the United States on July 1, 2023","I use a countertop oven because my regular oven is too large for what I cook and a pain to clean. I have been using one for about 5 years and my first one finally died. When I went out to look at them in person I was shocked on how flimsy the doors were and how light weight and cheap all the racks were. I decided I was going to have to pay a little more for a higher quality countertop oven. I found myself stuck with the Wolf, the top of the line Breville or this little gem I ran into at Crate and Barrel. If you are looking for a large countertop oven where you can cook turkeys then this is probably not a smart buy. If you are looking for something that cook within the size of 9 by 13 with no handles or 12 inch pizza with no handles then I highly recommend this. Some of my first day pros are that the oven made no noise. I had to check it a couple times to make sure it was still cooking. It is so much better to put your food in before you start the oven than after it is hot from preheating. The light is very bright to see your food. The food cooked much better than my old countertop oven and did not splatter grease all over the place. It did this without radiating heat through my small kitchen. The oven door is the best on the market. The baking rack pulls out when the door opens and is locked in position until you want to manually move it. This keeps the rack from sliding out when you are taking hot things out of it. Some cons I have found on this oven is the manufacturer at this point does not sell replacement racks, air fryer basket or sheet pan. They do not sell a pizza pan for the oven either. At the same time when I talked to them they seem pretty cool on the fact that I could use my own baking products. I would recommend this to anyone who wants to cook meals for one or two individuals using it's multiple methods of cooking as it is not the biggest one out there, but I feel it's quality is much better.

Update: So very easy to clean and all the grease came off very easy.",5.0 out of 5 stars
AT,"Reviewed in the United States on January 14, 2024","They first oven we received had a broken seal on the glass panel, so it trapped moisture between the glass upon first use. The replacement was even worse, now that I know what to look for, this time the seal on the glass door was applied so poorly that it looks smeared, and something keeps rattling inside the machine as we handled it. The oven looks slick and I wanted to like it, but unfortunately the quality control is lacking, and I can't keep trying my luck until I get a normal one. Kudos to Amazon for making the replace/return nice and simple.",1.0 out of 5 stars
Lance B.,"Reviewed in the United States on July 31, 2024","This unit is a very nice addition to the kitchen. One person house so running the oven is over kill. This allows me to cook more rapidly in bake, toast, air fry etc. Wi-Fi is a nice addition since it will notify you went done and you can start and stop remotely. Only had this for a couple weeks hope I’m as pleased in a year.",5.0 out of 5 stars
Mitch,"Reviewed in the United States on May 7, 2024",Not sure how I feel glass tubes around the heating element over the food.... The airfry doesn't work that well unfortunately. Love my profile opal and indoor smoker.,4.0 out of 5 stars
James,"Reviewed in the United States on October 10, 2023","The GE Profile Smart Oven has truly revolutionized my cooking experience. The standout feature for me is undoubtedly the ""No Preheat"" function. Gone are the days of waiting for the oven to reach the desired temperature. With zero preheat technology, I can dive straight into cooking, saving precious time and energy.

But it's not just about the no preheat feature. The 11 preset functions, ranging from Air Fry to Bake and Bagel, offer unmatched versatility. Whether whipping up a quick snack or preparing a feast for the family, this oven has got me covered.

The one-touch, high-rise door is another thoughtful addition. It provides extra clearance on the countertop and ensures safety by eliminating the need to reach over a hot door. And speaking of smart features, the voice control is a delightful touch. Setting and adjusting time and temperature using voice commands feels futuristic and makes the cooking process even more seamless.

The GE Profile Smart Oven is a blend of innovation, functionality, and convenience. If you're looking to elevate your kitchen game, this is the appliance to invest in. It's not just an oven; it's a culinary companion that makes every cooking endeavor a joy.",5.0 out of 5 stars
Donnie Farmer,"Reviewed in the United States on May 12, 2024",This is a very nice countertop oven with a lot of different functions on it I'm very happy with it,5.0 out of 5 stars
Russell Petrello,"Reviewed in the United States on May 9, 2024",I can’t even put a real review using the device because there was about a 1 inch gap between where the door and the frame of the oven met and couldn’t even get the oven to temperature because it didn’t seal shut. It was a huge bummer because I was super excited to try this out and use it.,1.0 out of 5 stars
Sherri,"Reviewed in the United States on March 22, 2024","Looks just as pictured. Easy to use and clean. Save space, we use ours in a cabin for guest.",4.0 out of 5 stars
J.C. Ross,"Reviewed in the United States on April 23, 2024","Traded up from my Tovola Smart Oven to this. Primary reasons were, looks, this thing is beautiful. Functionality. This is way bigger (which is a pro and con) and smarts. This I smarter than my old one.",5.0 out of 5 stars
Adale,"Reviewed in the United States on September 16, 2023","I love this oven so much and have been using a few days a week. Just about everything I've made with it has come out better than it did in my oven, takes less time, and doesn't heat up the kitchen. Because it cooks quicker and I don't have to worry about heating up the kitchen, I've found I'm using it much more than I did my regular oven. Some of our favorites are whole baked chicken (crispy all over) and beef tenderloin, and air fried breaded prawns, breaded baked fish, sliced sweet and regular potatoes, and frozen french fries. Clean up isn't too bad either.",5.0 out of 5 stars
T. Butts,"Reviewed in the United States on March 27, 2024","This oven is the best countertop we've owned, even better than our $600 Wolf countertop. It's so cleaver and blew our minds. No preheating necessary, super great with all 11 features.",5.0 out of 5 stars
Amazon Customer,"Reviewed in the United States on November 24, 2023","I love this appliance. It is so easy to clean. Cooks everything beautifully. Fits perfect under my cabinets.
You don't need to preheat. Time saving. I have tried others only to return them. This is a keeper.",5.0 out of 5 stars
Janice A,"Reviewed in the United States on January 28, 2024",Oven works as described. Love that it has multiple functions. Use it at least once a month,5.0 out of 5 stars
gina leblanc,"Reviewed in the United States on January 19, 2024","Love this unit
Easy to clean
Seems to cook quick",5.0 out of 5 stars
Mike PNW,"Reviewed in the United States on April 23, 2023",The interior of this oven is too small to fit a 12” pizza or a 13x9 pyrex pan. I returned it.,3.0 out of 5 stars
Straw Hat,"Reviewed in the United States on June 21, 2024","Shortly after buying the oven we noticed it struggled to register the buttons we were pressing, and now the start button has completely stopped responding.",1.0 out of 5 stars
Big Foot,"Reviewed in the United States on April 20, 2024","This GE oven was returned immediately. The air-fry was annoyingly loud and the fan rattled. The app is clumsy, useless and kept losing oven connection... GE failed again. if you like to waste your time this product is for you. The oven is smaller then the dimensions stated. Would not recommend this product.",1.0 out of 5 stars
Marcia P.,"Reviewed in the United States on August 25, 2023","Everything says you need 4 inches clearance on every side ... well ... except the top.
You need 5.5-6in on top for the thing to even open.
We asked (and we never ask) and were assured it is 15.5 in at its highest point.
The door takes almost 17in clearance.
Can't even open it.
GE, you make jet engines ... how do you not understand the arc of an opening door?
Very disappointed and returning.",1.0 out of 5 stars
JW Alexander,"Reviewed in the United States on December 2, 2023","The glass door panels had a broken seal, so the first time it was used moisture filled the cavity between the glass and never dissipated.",1.0 out of 5 stars
