Profile Name,Date,Data,Star
John,"Reviewed in the United States on August 23, 2024",This product is great it works with my HVAC system to get the most out of it. I really like that I can control it from my phone.,5.0 out of 5 stars
THE CMC WB,"Reviewed in the United States on August 17, 2024",Connects easily to our existing Google Nest system. Installation was easy and only took a few minutes. Make sure you understand your existing wiring before you start and this is an easy replacement for your existing thermostat. Being able to adjust settings ing the Google home program makes it very convenient to use.,5.0 out of 5 stars
misiro,"Reviewed in the United States on August 14, 2024","Everything about this thermostat is a downgrade from the other Nest thermostats. I have had every version of the Nest thermostat and this one is the worst.

1) The controls are less intuitive. The spinning wheel is what made the Nest thermostat so easy to use and is the reason why the circle shape worked. If you remove the spinning to navigate the thermostat, what is the point of it being round like this? Instead, you have to use a touch-sensitive panel on the side which uses swipe and tap gestures. It sucks.

2) The app is a downgrade. You can no longer use the more intuitive Nest app. You have to use the Google Home app with this thermostat which requires more taps and searching through menus for simple control.

3) The colors are pretty, but it actually looks cheaper than the Nest Learning Thermostat or Nest Thermostat E. In my opinion, the best looking and most functional model was the E, which they have discontinued for reasons which baffle me.

5) I guess when we received it the battery was very low. It's been months of seeing ""Very Low Battery"" on the screen. Yes, I will replace the battery (a AAA), but it should come with a battery that has some charge. Not a good luck to ship things which, when first powered on, immediately says the battery needs to be replaced. Besides, if it's Low Battery as the screen has indicated for months now... why is it continuing to operate for this long?

Sadly, we will be looking to other brands for thermostats once we finally get frustrated enough with this one. Besides, Google sells your personal data and profits from it. Best I avoid supporting that in the future anyways: and so should you.

I recommend passing on the Nest Thermostat if you like simplicity, function, and style.",1.0 out of 5 stars
Tony M.,"Reviewed in the United States on November 23, 2022","I replaced and existing Wi-fi Enabled Honeywell that never worked very well. Overall the Nest Thermostat it’s a very positive upgrade : better aesthetics , better UI and much better “smart” features meaning i am saving money right away.

If you are a Google Home / Nest user then there is a lot of added value due to the automation and reporting features . The home and away detection using Google Home App works well to reduce usage while you are away from home. the daily reporting helps you estimate your bill. and the scenario-based scheduling gives you useful control over heating to balance comfort and usage

There are some failures though . the initial wire detection failed , i believe due to firmware issues . also my furnace has a semi automated fan, so the green wire detection failed while the timed fan was enabled . after 3 iterations the setup completed fine and the unit has been working great . Once active, my furnace now cycles less frequently which reduces noise in the house

the device UX is great but not intuitive for guests . yet another “one click does everything “ UI that takes time to understand . This could be good if you don’t want guests to fiddle

Finally, the Google HOME UI is very clumsy for basic features like setting schedules and reading the temperature . the app has too many features and functions that get in the way of basic thermostat usage . I recommend commanding via google assistant or setting hold temperature via the Device UI. Once you set a schedule , you won’t be adjusting temps often so it’s a minor hindrance .

Overall it’s a very positive purchase and with the rebate and cost savings you’ll save at least $100 in the first year . It’s a classy device —easily the best looking Thermostat on the market with the glossy mirrored finish and high contrast display .

All in I highly recommend it with some reservations that will likely be cleaned up with software revisions . If you are eligible for a rebate or a heavy Google user, it’s an obvious upgrade to pursue",4.0 out of 5 stars
Annie,"Reviewed in the United States on June 13, 2024",These have been a game changer for us! I always have my air con on a schedule but life has been busy and I found that often more than not we weren’t in the house when the air con was scheduled to run. After lots of research I settled on nest and the functionality of being able to override the air con and adjust temperatures from my phone has been AMAZING! Bills have reduced slightly as a result of this so I’m very happy with my purchase!,5.0 out of 5 stars
Matt Saas,"Reviewed in the United States on June 20, 2024","You will need to download the Google Home app; which I already had.
Very easy to install. Instructions are clear. Very small and attractive unit compared to the standard large AC controls!",5.0 out of 5 stars
larry morgan,"Reviewed in the United States on May 10, 2024","Very easy to replace old thermostat. Works great. Stays on schedule. Very easy to set up and work with my Echo Dot.
My advice. Do not pay someone to put this in your house. It’s to easy to do. Follow the instructions.",5.0 out of 5 stars
Max,"Reviewed in the United States on August 27, 2024","not that friendly to operate the panel by hand. The device can not twist or tab, not the same as the black one, the only place to operate is the censor bar on right hand side. That operation is not smooth, and really gives me a hard time. Just use App now.",3.0 out of 5 stars
Jaimeson Coons,"Reviewed in the United States on August 21, 2024","Instal was very easy and was able to link to Alexa home system. Not positive how much it will save us but already finding the air conditioner is not running as much as before. I am not a very big fan of how to adjust, having a touch sensor on the side rather than turning it.

I recommend getting a wall plate too as it takes up less surface area than most traditional thermostats",4.0 out of 5 stars
Ethan C.,"Reviewed in the United States on July 21, 2024","I have an AC and heat pump with backup heat. This thermostat doesn’t support backup/emergency heat which I didn’t know when I bought it. Still works for heat and AC but if you want the assurance of everything hooked up then you’ll need the “learning thermostat” version.
Pros:
Good home/away sensing and easy to use in the Google home app. One tap enrollment in electric supplier rebates.
Cons:
Terrible controls on the actually thermostat. They couldn’t have picked a worse interaction method than sliding and tapping the side. Please just put buttons or an actually moving ring smh. But I usually just use my phone or Google home to adjust it.",4.0 out of 5 stars
