Profile Name,Date,Data,Star
Amazon Customer,"Reviewed in the United States on August 21, 2022",I have severe allergies including mold. Guys this is the best thing I could have ever purchased. I use it in my bedroom since that is where I spend most of my time. The air quality has major improvment. We have a little mold in crawl space so this has saved me from that. It is quiet but does make a soft noise which I love. The light acts as a soft night light to me which I love. I highly suggest you buy this if you are looking for a high quality product. Everyone should have this regardless of allergies. It makes your room smell neutral. If you fart it even detects that so don't be surprised.,5.0 out of 5 stars
Dawn Bader,"Reviewed in the United States on January 12, 2023","I used Rabbit for 10+ years and the quality of devices is not comparable. Plus the sleek futuristic look. It is quiet too. My favorite feature is that it displays which job it is doing: odor clearing, Pm 2.5, 10 or it is really toxic in the kitchen while cooking and it is purifying that. Sorry for the lack of vocabulary. My only con is the sleep mode - the LED light is too strong and I have to shut it off or wear sleep mask. I love this device!",5.0 out of 5 stars
NA,"Reviewed in the United States on May 9, 2022","Air purifiers emitting ozone should be avoided as no amount of ozone is healthy to breathe. LG should know better than to incorporate these technologies in their air purifiers, especially at this price. For some reason they do it anyway.",1.0 out of 5 stars
Emily Souvannaseng,"Reviewed in the United States on November 21, 2021","Live in a split level house, had a dog with pee pads and a cat with litter boxes (one litter box on each level). Cat had separation anxiety and would pee in the corners of the house, on the stairs and mostly down stairs of door frames. Since both pet's passing we tried using chemicals and multiple carpet shampooing but it still had lingering smell in the house. I set up the purifier upstairs now after just a week we noticed a big difference. You would think with pee soaked carpet and wood it would still smell. Now we want another one to keep downstairs. Love the smart function, it would automatically boost the fan when we are cooking and frying.",5.0 out of 5 stars
Kris,"Reviewed in the United States on May 12, 2022",This purifier works well and is sturdy.,5.0 out of 5 stars
Taelim Huh,"Reviewed in the United States on April 22, 2022",The best air purifier I have ever used.,5.0 out of 5 stars
Sharon,"Reviewed in the United States on November 28, 2021","So Quiets, you barely know its there.",5.0 out of 5 stars
James Carlton,"Reviewed in the United States on October 29, 2023","You certainly feel the and see the price of this high end machine. Working extremely well so far to remove odors, dust, etc., even while we're doing some remodel which produces considerable levels of both.",4.0 out of 5 stars
Anthony Pantliano,"Reviewed in the United States on January 21, 2021","FAST FACTS:
PROS: Loaded with features, sleek controls, quiet, works well.
CONS: Large and a bit plasticky.

DETAILED REVIEW:
Let me preface this review by saying that I also own the original Molekule air purifier which costs about the same, so I will compare the two from time to time.

LG's PuriCare Air Purifier is made almost exclusively from plastic. The plastics are high quality and nicely finished, but the materials are nothing special. In contrast, the Molekule is made from brushed metal and has a leather strap.

The LG is also quite large. It is squat and wide. It looks like a futuristic trash can to me. The Molekule is smaller and sleeker with a built-in cord wrap.

When it comes to cleaning and features the LG absolutely trounces the Molekule.

The top panel of the LG is touch sensitive and has a large a bright display. The color of the display changes depending on the air quality condition. (FYI: those bright lights can be disabled by activating the sleep timer). You can also control the LG via the included remote or an app on your smartphone. The app is fully featured, but it took me a few tries to get the LG connected to my Wi-Fi network.

The LG has a smart mode, a boost mode, and a normal mode. In smart mode it will change the fan speed and mode automatically based on the air quality. Boost mode is truly unique. Basically, the top of the air purifier rises up and an additional fan turns on to blow the purified air into the room. You can also oscillate that fan. It's effective and unique. In this mode the fan speed can also be set to change automatically. Lastly, normal mode does not activate the boost feature.

The LG is unoticable on the lowest speed. Even the highest speed is not overly obtrusive. The Molekule was very loud when turned up to max.

The LG cleans the air effectively. My husband commented that the air in the room smelled fresher and cleaner when we replaced the Molekule with this LG. We have the purifier in our 14' x 10' foot living room which opens to a dining room and kitchen. I too have noticed that the air in the room has a cleaner smell to it. It's hard to describe, but it is noticeable. Moreover, the LG's auto fan mode works marvelously and instantly raises and lowers the fan speed based on air conditions. For instance when we blew out a candle that was across the room from the LG it almost instantly turned up the fan speed to clear out the smoke from the extinguished candle.

Replacing the large circular filter is easy. The panels are magnetically hold in place and the filer slides out without tools. Other than replacing the filter you need to wipe down the air quality sensor with a cotton swab every other month.

All in all... a terrific air purifier.",4.0 out of 5 stars
Ann Neris,"Reviewed in the United States on January 19, 2021","After 4 hours of this being on in my upstairs attic room it felt like walking in to a hospital but without the smell of hospitals. I was able to take deeper breathe than normal.
The kids name it R2D2 😄
Besides using colors and numbers to clearly understand when the air of the room is clean, you can choose on the top to have it move side to side like fans do, also it allows you to adjust how strong it blows air.
With the app it will comunicate with your phone and give you diagnostics.
The remote control is simple but useful if you are within distance and dont want to get up.
Setting it up was like eating a banana, simple, quick and easy.
It has a sleep mode up to 8 hours, the good part about sleep mode is it turns off all the lights except one little light which indicates is in sleep mode 😴 I personally like that feature because if I want to get away from everyone and go upstairs to take a nap the attic is the place to go, is a office, craft room, it has a reading area where we like to enjoy silence, read and take a nap because with lights off it can be dark.
Air ventilation up there is limited and is all carpet, with time the air felt heavy and we resourced to cleaning up there with a robot vacuum in order to not end up with asthma.
Now I have this feeling of not wanting to leave the room because of how good and clear it feels for me to breathe.
Another thing I notice is that my husband snores loud, if I'm watching TV I have to put the volume up, the last 3 days we have spend long hours up there he has taken numerous naps and he is snoring a lot less and much less louder, I have no clue if this has to do with having better quality air but at night when sleeping in our room he snores as usual and as traditional. The 3rd time I record him so he could see the difference. We decided to check our numbers and buy another one for our room.
In reality we had no idea how much of a difference it can be to have a air purifier, is air! How dirty can it be? Well it can and you get use to it, dont notice the difference until you have one of this cleaning one room and you leave that room to walk in to anotherone where suddenly the air can feel heavy.
I know the ticket is a big one, is 705 with tax but for me the difference is so noticeable that is worth the investment.
One last very important detail, this air purifier arrived in its own original big black box with big images of the unit and LG brand, anyone can see what it is inside, so if left at your door or porch it will be a nice temptation for porch pirates, make sure someone is home.",5.0 out of 5 stars
Miss Pink Lemonade,"Reviewed in the United States on January 25, 2021","Play Video
I'm just blown away by how incredible this Air Purifer is. We have a Dyson and a Vornado ... neither are a match this this LG's power, aesthetics, customizability, and technology.

So, first, download ""LG ThinQ"" app. Pairing to the app is no problem (just follow the step-by-step instructions). Once you have it paired with the app, you can change the speed via the app, check the air quality, etc. It's pretty cool! Then, teach Alexa the ""LG ThinkQ"" skill. Then, you can ask Alexa to ""Activate LG air purifier,"" ""Turn off LG air purifier,"" etc. You will hear a series of tones from the air purifier and this indicates that command is being employed. You think you don't need the voice command ... until you have it! Then, it's super handy! (Especially, when you are cooking).

Now, we left this on turbo overnight. When I came out of my bedroom, the entire house smelled really ""crisp."" It's hard to put into words, but it wasn't merely ""clean,"" it was really pleasant.

And, I really like how this helps with those nose-blind moments. Sometimes we finish cooking, eating, cleaning-up ... and, it feels like our home is back to normal. And, then I see this is lit up yellow and I know that odors definitely remain. And, it is so gratifying to finally see the color change back to happy green!

I uploaded a video of this operating a full speed. You can hear that even on ""turbo,"" the noise level is relatively low. Our heating/cooling system is louder (and that's pretty quiet).

This really provides such peace-of-mind. And, I expect it to be genuinely helpful in the spring and fall when my seasonal allergies are moderately active.

This outshines all like products ... by a hundred miles.

Totally incredible! Very, very highly recommended! So much ""WOW!""",5.0 out of 5 stars
Lisa,"Reviewed in the United States on February 28, 2021","I am actually very amazed with this product. It is both an air filter and a fan in one. The top can come up and til to act as a regular fan. It is the quietest air filter I have ever used. I have tried a handful of less expensive and very expensive air filters from $50-800 dollars. This one is by far the quietest. It is also made in Korea. The filter is very easy to change out, but it is a custom size so you will have to dig for alternative replacement filters. The frame is held together by strong magnets. It is a very heavy air filter so it is made to stay in place. It is good for a larger room. Does not come with a carbon filter so you will have to buy that separately, especially if you have pets. Overall, it is a very good filter and worth the investment.",4.0 out of 5 stars
