Profile Name,Date,Data,Star
Glory to God,"Reviewed in the United States on July 19, 2024","This apple watch is better than I thought it would be, but the battery capacity is very low 66% and it does not last my child threw a whole 8 hrs. of school other than that there are no other problems with the watch it took a while to come but I received it with no scratches and no cracks it's in very good condition and she says she loves the watch. Apple watch series 4 40mm (GPS+ Cellular) Space Gray",5.0 out of 5 stars
Kay,"Reviewed in the United States on September 2, 2024","This watch works very well. The touch screen works, it does not freeze when I need to use it, and it connects to my Bluetooth earbuds very easily. It’s almost light weight. The watch does Fit around my wrist perfectly. It’s Readability is quite awesome for it to be this cheap.",5.0 out of 5 stars
Daphne Martin,"Reviewed in the United States on March 27, 2023","It arrived within the window frame. I was very skeptical of buying refurbished watch, after reading reviews of scratched up watches, with dents, low batter life, defective in one form or another. So when I opened it, it really was in excellent condition! No cosmetic flaws, a brand new band, and charger looked new too! I was elated. Set up was a breeze. I have only had it for 3 days….so far so good! I bought a flower bumper guard for it. I plan on buying more bands too. I pray it continues to work as well as it does! I will write an update in one month. The pic shows me holding it up and it’s winding down for my sleep mode. Buy one, but pick “Excellent Condition “.

Update it is 7/28/23 My watch is still working well! Excellent investment.
*******Update****** 7/22/24
The watch is still working, however due to the fact that it is a refurbished product you have to take into consideration, so is the battery. It still works fine, but needs to be charged everyday, for a good amount of time. The battery becomes very weak at the end of the day around 7pm after being on the charger for 9 hrs. No matter how long you charge it, that battery drains around the same time of day and will die out. So it was a great starter watch, but eventually you will want to upgrade, for a few more dollars to a brand new one. Battery last all day long on my new one and never goes dead, even if I get it on the charger late at night. New one cost me $200 Target. Walmart sells em for $189.00 Brand New. I kept the old one for a back up, it’s on my shelf now taking a long rest 😂",5.0 out of 5 stars
Kait kitty,"Reviewed in the United States on August 4, 2024",I ordered this watch to replace my old one. This one works quite well although as seen in the pictures it did come with some scratches at the top of the screen. The battery drains quickly but recharges fast.,4.0 out of 5 stars
Jessica H.,"Reviewed in the United States on December 27, 2023","I was really excited to find out that I could buy an Apple Watch for such a good price. I went ahead and bought it in best condition for what I believe was $140 at the time. However, when I got it, the case was scratched up fairly badly, the new screen wasn't marked but it seemed to be put on 98% perfectly - it wasn't too responsive and the way it was placed on was just a little bit off if you looked very closely. The worst part of it all was the battery capacity - I'm pretty sure it was at about 80%, which is not what you want in a watch with one-day battery life. Over time it degraded down to 76%, and it would cost $100 to replace It still had a lot of the good features, but I began to realize that it was just too old and over time it just became annoying, with bad dictation, frequent OS glitches, and a frankly awful Siri experience - the voice assistant hardly ever acts like it understands me, even when I'm connected to the WiFi and my iPhone. I ended up finding a deal at Target for a factory-sealed series 8 around Christmas time this year, and Apple claimed it to be $60 for trade-in value. At the end of the day, if you still consider buying this, I would just say be prepared for some annoying gimmicks and an expensive battery replacement, without the original Apple box, charger, and band that it came with (they'll all be off brand). I'd say give this to someone who is not tech-savy, or just buy straight refurbed from Apple a 7 or later where you get smaller bezels.",3.0 out of 5 stars
Shadonya Hines,"Reviewed in the United States on August 8, 2024",The watch came in good condition from the outside but the battery life sucks. I charged all day and night and still do not last me a full day which is frustrating when I use it for fitness so I can never keep track of my steps accurately because I have to keep taking it off to charge it,5.0 out of 5 stars
Shak,"Reviewed in the United States on July 18, 2024",This is truly an amazing product if you are a little hesitant on Apple products. And you just want to dip your feet in the water it lived up to the standards I had in mind and it looks and feels amazing and I did have a little trouble getting it charged at first but after I got it past 50 it has stayed at a consistent battery life for the duration of time (assuming it had sat awhile before it was last powered on or charged) but 10/10 would recommend runnnnn don’t walk to buy this watch.!!!!,5.0 out of 5 stars
Olivia Neuman,"Reviewed in the United States on August 25, 2024",Watch is in good condition and works great. But the charger that it came with doesn’t work😕,4.0 out of 5 stars
Wilmer M.,"Reviewed in the United States on August 28, 2024","las imágenes no corresponden al articulo que me llegó pero trabaja bastante bien y a pesar de unas pequeñas raspaduras, está operativo y totalmente funcional.",4.0 out of 5 stars
Matt,"Reviewed in the United States on August 31, 2024","I do like this Apple Watch, it does everything I need and more. The price was right and the watch face selection meets my needs. Sure you can get a Rolex, if you can afford one, but a Rolex only gives you day date and time. I want more from my watch. It was definitely a good buy!",5.0 out of 5 stars
