Profile Name,Date,Data,Star
Mel,"Reviewed in the United States on December 7, 2019","I was looking for a smart thermostat without breaking the bank and without the need for any fancy features like self learning based on your habits for example. Got a good deal on the Sensi and decided to try it out. I downloaded the app before purchasing and was able to check my existing wiring to see if the Sensi was compatible for my system. The app is simple and goes through the all the necessary steps for set up. You will need the C wire for this thermostat.

Once I confirmed compatibility, and after delivery, following the instructions on the app took me through the process of removing the old thermostat and installing the Sensi. It was a very easy and logical process which even a novice at home improvement can follow. The only slight hitch in setting up the system was ensuring that the wire connection was secure - a couple of the wires came loose after I thought I had screwed them in. Really not a big deal but I gently tugged on the wires to ensure that they were not loose. The Sensi thermostat attaches to The wall by clipping into the wall plate that is provided. Luckily for me the old wall plate holes were in the right spot for the new Sensi wall plate. Before clipping the thermostat on ensure that the wires are flush with the wall as instructed by the app.

Connecting to WiFi was fairly easy and it was done through the app on my iPhone. The thermostat is only compatible with 2G WiFi so you have to make sure your phone is connected to the 2G network while going through this part of the setup if you have a dual band router (you can switch your phone back to the 5G network after if you wish). WiFi connection was made quickly although the thermostat did take 30 or so seconds to be fully responsive to my phone after I thought the connection was completed (I initially thought I needed to go through a troubleshooting process but did not need to complete that process).

Once fully connected you can easily adjust temperatures in the app, set up schedules and use a variety of options e.g. display humidity etc. There is also a geofencing option if you wish to use that. I set up my iPhone to be able to use Siri to adjust temperatures. You’ll need to set up your iPhone Home app for that. Once again the app runs you through all the steps to do that. I also set up my wife’s phone for her to have the feature that allows her to use Siri. Initial attempts to set her Home app to connect with the thermostat using Siri were unsuccessful until I realized that I could simply share my iPhone Home app settings with hers (just had to make sure to switch to the shared home app profile and not the original default one on her phone). If you do not wish to use Siri you can simply use the controls in the Sensi app and do not have to go though the Home app set up.

I’ve had the thermostat for a week now and I love it. The thermostat is very responsive to changes made within the Sensi app or when using Siri (usually within 1-2 seconds). I also like that I can view ‘Usage’ within the app to see how long the furnace has been active. The app will also allow you to check to see if you are eligible for rebates based on energy savings programs for your area.

Of course if you need to change app settings on the thermostat itself it is very easy to do so. There is a feature in the app that allows you to lock the wall display and only be able to change settings, temps etc through the app if you do not want people to change temps or settings through the wall display.

Overall a great thermostat. Easy setup. Easy to use. Great features. Very responsive when using your phone. 5 stars plus!!",5.0 out of 5 stars
Brandi,"Reviewed in the United States on July 18, 2020","We've had this thermostat a month and I really like it so far. It makes me think our old thermostat wasn't actually working for a long time before it started setting itself to 85°. Since it wasn't even programmable, I knew it had to go and if I was going to upgrade I may as well go with something just a bit more...modern than a set-temp-and-it-stays-unless-you-change-it thermostat. I'm going to do pros and cons below. I do want to say, I took my old thermostat off the wall first, wrote down all the wire colors and the letter each was connected to on a piece of paper. The app removes the need for pen and paper. I just used my pen and paper to place the flags mentioned below on the correct wires.

Pros:
1. This thing is super easy to install. Open the box and there are instructions for you to download the Sensi app. Once the app is downloaded it has you choose which letter slots you have wires connected to (R, RH, C, E, OB, etc.). The app then tells you how to use the flags they provide to label the wires. For example I had a wire that went into a slot labeled ""R"", but Sensi only had ""RH"" and ""RC"" (I think it was RC), so the app told me which R my wire needed to go in. Not having any electrical wiring experience, the app was SUPER helpful. It even had you take a picture of your wiring to save to your phone, just in case.

2. The piece that attaches to the wall has a built in level. I am super annoyed when things aren't straight on walls, so this right here, was awesome.

3. The app is really easy to set up. I just have a daytime and nighttime cycle, but I could set up all kinds of things super easily. Vacation modes, turning the AC up when I leave the house... It was great. It even walked me through how to sync the app with my Google assistant and the Samsung Smart Things app, which I didn't end up continuing to use. (See cons #1)

4. The report that tells you how long your AC is running is really helpful as well, especially since we had issues last year with it not being able to keep up. We have better insulation and updated windows and it's nice to see they are working, even when it's 99° with a heat index at 112°. (See cons #2)

5. I like that you can do things like temp and humidity offsets, have the AC turn on to help maintain proper humidity levels (we live in Florida, so this is a big thing for me), change the cycle rate (ended up choosing this one over another brand because people had issues with not being able to adjust the cycle rate on that one), and easily turn heat boost on or off. (See cons #3)

Cons:
1. It doesn't work with Bixby. This is something I don't really understand, but I'm guessing they assume if you're gonna use Bixby you use Smart Things? But I can just use Google for that instead.

2. The recent usage section only shows how long the AC ran that day, not which times it ran or how long at a time it ran. It would be nice to see how long the AC was running at a time, especially in the afternoon when it gets really hot. I have not yet gotten a monthly report since I got the thermostat mid-June and it's now mid-July. Interested to see what the monthly report looks like at the end of the month.

3. Sometimes I had to change settings a couple times before they ""stuck"". I found after changing a setting I needed to wait a few seconds before returning to the settings menu and that helped.

4. Shortly after I got the thermostat the AC drain line clogged. This resulted in my app/thermostat constantly saying cooling was on, but the AC wasn't running. My usage for that day was like 21hrs, but I know it wasn't actually on for the majority of that. Not really a huge issue, but you won't have an accurate reading for that day.

Summary:
Overall, this is a really amazing unit and I have been really glad to have it. It was seriously a breeze to instakl and set up and functions well. I do wish I could connect it to Bixby without using Smart Things and I do wish I had a more detailed daily usage report, but those are very small inconveniences. I normally keep our house at 78° during the day and 77° at night and sometimes that feels cold. I would often feel hot before and wondered if our AC was not working correctly, but it would seem it was actually the thermostat. Very happy with this purchase.",5.0 out of 5 stars
Mister M,"Reviewed in the United States on March 18, 2021","This Sensi thermostat is waaaaaaaaaaay better than Honeywell. The Honeywell software and their mentality is completely OUT OF WACK and their thermostats are pure garbage and it will damage your equipment. The Honeywell Cycle rate is set to about .5+/- so my furnace now in the winter has been running and running nonstop and my furnace was not getting any rest. That is a very bad thing for our heating and A/C system, not to mention the gas and electricity bill. I called Honeywell tech support and they told me that ALL their thermostats have this fixed setting and there is nothing in the menu for us to change that option. Something is really wrong with this Honeywell company and this cycle rate setting is simply inappropriate.

I just installed my new Emerson Smart Sensei and even the WI-FI connectivity process went very smoothly and I successfully connected my new thermostat. The Sensi app takes you thru the entire process fairly quickly and is very easy I have no idea what other people are having problems with. Note that I already knew which cables to connect so if you don't know that's a different story. The Honeywell thermostat on the other hand was a nightmare to install thru the app and it simply doesn't work so I had to go to my desktop PC and finish the process there. Really annoying.

And guess what I found out? The Sensi app itself has the options for me to change the Cycle rates to either SLOW, MEDIUM or FAST that was awesome I could not believe it!!! :-) Sensi was so smart by not putting this option in a hidden menu. Honeywell Engineers and marketing department simply don't know what they are doing. I'm looking forward in seeing how my new Sensi thermostat will perform tonight and I'm sure it won't disappoint. This device looks really great on the wall as well. The Honeywell WI-FI cost me $79 on sale and this Sensi costs more but is TOTALLY worth it!

The only thing I didn't like is that a day before purchasing this device I contacted Sensi tech support and took one entire hour to pick up the phone and someone from the Philippines picked up the phone eventually. This is not acceptable. Other than that I completely recommend this thermostat.

UPDATE: This Emerson Sensi Smart thermostat is definitely a superior product. Only while running it in one day you can see and hear the difference. I set the cycle rate to SLOW and boy what a difference! The thermostat outputs the heat in a very smooth way and when the it reaches the set temperature it stops for several minutes and it DEFINITELY does not restart in 30 seconds like the Honeywell ones. I have no idea what problems others are having that complain saying this thermostat doesn't work but I can tell you that is not the case. The software and hardware is really well made and nice looking as well. I prefer this Sensi to those ugly round looking ""high tech"" and over priced thermostats.",5.0 out of 5 stars
music on vinyl,"Reviewed in the United States on January 29, 2019","Very happy with multiple Sensi wi-fi smart thermostat installations. Well implemented app and easy to follow directions for various types of applications. If you don’t have a “C” wire, it’s relatively easy to add one. You need a 24 volt plug in transformer (about $14 on Prime), and some thermostat wiring. The transformer and 2 wire thermostat wire are independent from your furnace and other thermostat wiring. You just connect one end of the two wires to the transformer, and the other end of the two wires to the correct terminals on the thermostat, and plug the transformer into a traditional electrical outlet. Your existing thermostat wiring just gets transferred to the matching terminal markings on the Sensi. Great flexibility with settings and programming with the user friendly app. Controlling and monitoring your temperature and thermostat from anywhere remotely is very handy. Great way to jump into the smart house scene.

Edit 1/26/2020

I think I may have discovered the reason so many people are having issues with their Sensi installs and the constant Wi-Fi connection problems.
I have four Sensi smart thermostats that I've installed over the course of about a year. The first three installs were very straightforward. Those units have all performed perfectly from the day I installed them. Not a single dropped Internet connection or any other issues. The Sensi mobile app is great, and provides amazing control over programming and controlling the thermostats. I have purchased eight of the Sensi thermostats, but have only installed half of them so far. Most of the units I've purchased have been returns that I've bought for about half price online. Most of them have been registered previously with Sensi. It isn't difficult to have them unregistered through an email request that the app prompts you to do. The two caveats are that you will not have remote access or be able to complete the setup of the thermostat until you are able to register it to your account. The thermostat will still function locally like a traditional thermostat, so that's good. The other problem is that  Emerson / Sensi is painfully slow processing requests to unregister thermostats. Count on at least two weeks. You will have to return to the location of the thermostat to finish registering the unit once Emerson gives you the confirmation they unregistered your thermostat. This is the price of buying a returned unit at half price.
The fourth Sensi install has been difficult. I revisited the Amazon listing for the Sensi thermostats. I was hoping to find some answers to my install problems from some of the reviews on Amazon. I was quite surprised on the number of newer negative reviews. I originally chose the Sensi because of the positive reviews online and on Amazon.
I was having a couple of different issues with the install of my fourth Sensi. Each of my installs were unique as they were for different types of heating and cooling units. Most of my installs were for heat only, including the fourth one. The fourth install was for a Modine warehouse style heater. This required 4 wires. Red heat (Rh), White (W/E), Common (C), and Fan (G). I tested the C (common) with a multi-meter. and I was getting right around 26 volts (correct voltage). Testing is done with the Red lead to Rh and the Black lead to C. The C wire completes the connection and provides constant power to the thermostat to power the Wi-Fi Internet connection. I've seen some comments about not needing a C wire for the Sensi. This may be true, but you will eat through batteries if you rely on them to keep power for the Wi-Fi connection. Technically, you do need a C wire for reliable remote access.
My issues included constant dropping of the Wi-Fi and inconsistent operation of the heater and blower / fan. I did check all of the setup parameters for type of heating unit, etc through the app. Everything was set correctly. The Wi-Fi network that this Sensi is connected to is super stable, and has two other Sensi thermostats that maintain reliable connections through Wi-Fi. The issue with the fan I was having is that unless I switched the setting for fan to ""on"", the heat would not kick on. The correct setting on the thermostat for the fan would be ""auto"". When set to ""on"", the fan stays on even when the unit is not heating. If I set my fan setting for ""auto"", the heater would not kick on.
I was fairly confident I had my wiring correct at both the thermostat and at the transformer on the heater side. It's harder to be certain on the transformer / heater side, because the terminal markings are not consistent from manufacturer to manufacturer. I was lucky enough to find a photo online of the terminal markings and what they represented for my exact Modine unit with the same transformer. I was starting to think that this Sensi unit was defective (like many others do based on negative reviews). I did do some wire swapping, but always ended up back where I started regarding the wiring arrangement. Voltages were all reading accurately at the thermostat. I had the face of the unit on and off from the back plate / wall mount many times. On one occasion, while guiding the thermostat back onto the wall mount, I was applying some upward pressure and heard some electrical clicking at the heater as though it was about to kick on. That was my ""Aha"" moment. The pins that coincide with the thermostat wiring on the main unit / face plate and the related pin openings on the wall mount were not making a good connection. They briefly made a decent connection when I put some increased pressure on the thermostat / face plate. I was able to recreate this heater clicking reaction by pushing on the thermostat. I wasn't certain exactly where the connection was failing (which wire or pin), but I tried a couple of things, and they seemed to have fixed my issues. The first is that I shimmed the back plate away from the wall with a small strip of cardboard behind each end of the back plate and the wall. This would allow the thermostat face plate a little more travel on the wall mount side (deeper seating of the pins). The second thing I did was to go over each thermostat wire where they connect to the back plate / wall mount and reinserted them and made sure that the screws that hold each wire in were very tightly drawn down on each wire. This fixed the fan issue (I was able to set the fan to ""auto"" and have it turn on and off with the heater). This also fixed the Wi-Fi dropping issue. I'm still waiting for Emerson / Sensi to unregister this particular thermostat, and I will revise my review with an update once I have remote access and can confirm these fixes have remained stable.",4.0 out of 5 stars
Jim Healy,"Reviewed in the United States on July 22, 2024","The reviews conflict as t whether or not this unit requires a ""C"" wire (Common wire). As stated in the product literature, in my installation, a ""C"" wire WAS NOT required.

Installation to replace a previous thermostat was easy; took all of 15 minutes. WiFi access will be helpful in my installation, and it works well with the app. The app is just a remote interface that's identical to the unit face itself.

A couple of days after installation, I got a warning that the temperature of the room was more than 5 degrees above the set temp. The A/C was running, but not keeping up. Traced that to a clogged air filter, but I appreciated the warning message.

Yes, I recommend this unit for price point and function.",5.0 out of 5 stars
M. Yates,"Reviewed in the United States on June 19, 2022","I moved to the East coast last December. We have a six-zone boiler heating system with baseboard heaters throughout 4,200 sq. ft., on three floors (not bragging, just trying to give an idea of the size and complexity of the system). With six old-school manual thermostats spread throughout the house, it was nearly impossible to evenly regulate the heat during the cold winter, so some rooms were very cold and others too warm. I found myself constantly going up and down stairs to monitor temperatures and make sure I wasn't wasting heat or keeping areas too cold that would affect other zones.

My boiler was installed in 2007, so it isn't very old and it's very efficient. However, it's a two-wire system with no C-wire, so the fact that 99.9% of ""smart"" thermostats on the market require a C-wire to operate was very frustrating.

I stumbled across the Emerson ST55 and saw in the description that it could work either with or without a C-wire, so I called Emerson tech support to make sure before I plunked down hundreds of dollars on six thermostats that might not work. Tech support confirmed my fears that it would not work without a C-wire despite the Amazon description, so I kept hunting.

Fortunately I found a YouTube review of the ST55 and the owner said he had been successfully using it with the same kind of two-wire system that I have for over two years. So I figured I'd buy one and see if it worked. Worst case, I'd send it back for a refund.

The instructions inside the box clearly state that it will not work without a C-wire, but I ignored them and kept going. With only two wires it was a breeze to install. I put in the batteries, snapped it into the wall plate, downloaded the app, created an account and was ready for testing in about 15 minutes.

I'm not sure if it's just my system or all boilers, but I didn't realize it doesn't turn on instantly when the thermostat temperature is raised above the existing temperature. So when I first tested it, I was bummed that it didn't work. But as I walked downstairs to the boiler, it was running! So I did some more testing, and found that there's about a 20-25 second delay between increasing the temp and the boiler kicking in.

Granted it's only been a couple months since I got it, but I've played with it plenty and it's working great. Instead of a C-wire, the thermostat is powered by two AA batteries. The guy in the video said he's been using the same regular alkaline batteries for two years and they're still at 90% charge capacity, which is awesome. But I figure that even if I have to replace batteries every year, 12 AA batteries is a helluva lot cheaper than paying an electrician to rewire all six zones!

On top of the six heat zones, I also have two central AC units. Thankfully those have C-wires, but I'm going to replace those thermostats with the Emerson ST55 also so that I'll have full control of all heating and cooling from one simple-to-use app. With any luck it'll go on sale on Prime Day so that I can save some money! :-)

I can't speak to the Alexa integration as I don't use that functionality. But plenty of other reviewers have said it works fine.

I appreciate Emerson's thoughtfulness in adding a built-in level to the back plate. I'm a stickler about things being mounted straight, so it was nice to not have to break out a level to make sure I didn't mount it crooked.

As for aesthetics, the ST55 is nice. It's not too large to look obnoxious, but it has a good-sized display. And I'm not sure if it's just because I'm running it on battery, but the back light doesn't stay on constantly, so it doesn't light up a dark room at night (not too important in common areas, but important if you've got a thermostat in a bedroom).

So, to make a long story short, don't believe Emerson. This thing really does work on a two-wire boiler heat system with no need for a C-wire!",5.0 out of 5 stars
James W.,"Reviewed in the United States on December 11, 2020","(Long, but I hope worth the read) Overall, I am extremely happy with the Emerson Sensi smart thermostat. For me it was a pretty easy project, but it is important that you know what type of cooling/heating system you have prior to attempting the installation. Although the basic installation is made very simple using the Sensi app, there were some very important things not covered. I suggest you check out how to configure your Sensi on their site (Configuring Thermostat | Sensi US (emerson.com)). I’m a pretty good DIYer, but have very little experience with AC/heating systems. I was 99% sure I had a heat pump setup, but I called a local AC technician I know to confirm and am glad I did. Having installed a few smart thermostats, to include this one, he not only confirmed I had a heat pump, he also informed me I would have to go into the system settings on the thermostat and change the outside setting from ‘AC1’ to ‘HP1’. This was confirmed when I checked out the Sensi website. Armed with this information, installation went without a hitch and I was up and running in no time.
Pros:
- Easy to install, if you have a little DIY experience, all the information needed concerning your AC/Heating system and gather the additional information before starting.
- Very easy to connect to WiFi and integrate with Google Home. Connected to my WiFi with in seconds following the instructions; when I opened my Google Home app, there was an icon to add Sensi, clicked on it and moved the thermostat to the appropriate room. I have not experienced any drop-offs or loss of the WiFi, even when I turned off my WiFi for a few hours, removed the batters or installed old, weak batteries as tests; in every case, the thermostat remained connected or automatically connected right back up in seconds with no need to go through the WiFi setup operations again.
- The Sensi app, in addition to walking you through the installation, allows you to set up various cooling/heating programs to run automatically, as well as change other settings. Once added to Google Home, you can switch programs (cool, heat, auto), turn it on/off and set the temp. You can also use voice commands through Google to do this as well.
- The ability to adjust the thermostat to compensate for temperature offsets. In my case, where my thermostat is located the temp registers about 3 degrees off from what it is in our master bedroom or living room. I simply adjusted the offset in the Sensi app to compensate for this and now our bedroom and living room remain closer to the set temp then they have in the past.
- It can be operated manually by those less tech savvy. The controls on the face plate look and operate like those on our old ‘conventional’ one. I also like that you can lock out the manual operation from the app so that no one else can mess with the settings; like during the holidays when you have family members over who feel they can change the settings without asking .. lol.
- Being able to adjust the system cycling rates. There are three settings (short, medium, and long) that can be set independently for heat, heat aux and cooling. I don’t mind having my temps vary a degree before the system cycles back on, so I have all mine set to long; during the summer, I may switch cooling to short to see how much of a difference it makes.

Con: I only have one and it is the reason for my 4 rating. The instructions, at least those in the box, should include information on the additional settings that may need to be needed depending on the AC/heating system you have. At a minimum, they should inform you that you may need to make additional setting changes and where to find the instructions online.",5.0 out of 5 stars
Richard,"Reviewed in the United States on August 5, 2018","Purchased this model based on the good reviews and the no requirement for a c-wire. Decided to replace my 17-year old RobertShaw thermostat (t-stat) because I wanted remote capability. I was hesitant to touch A/C wiring whereas I had no experience with A/C wiring. The A/C company wanted $90.00 to install it, but I decided to do it myself since it was just a 4-wire system. (no c-wire). It took me just 15 min to remove the old, and then install/wire up the new t-stat. That's how easy it was. Was able connect the t-stat to my 2Ghz wifi network and used the Sensi app on my mobile. Everything worked just fine. No issues at all with wifi setup and using the app. It works exactly as designed.
You can make t-stats adjustments either by wifi or LTE on your mobile. No delay in signal. My wifi has never lost signal and has stayed up now for 1 week.

The t-stat itself (on wall) has very few settings. Just has temp control, fan/auto/heat/cool and wifi settings. All other settings are done via your mobile. There is also a light switch at the top of the t-stat that when pressed, stays on for 10 seconds, then turns off. BTW: The t-stat light is always off until you press any button. LCD screen is very easy to read with or without the light.

One of my requirements for a t-stat was to have a differential as to how much longer a unit will run once it hits its set temp. This model does not have a adjustable value, but does have a ""cycle rate"" of slow/medium/fast. I set mine to slow to keep it from turning on/off too many times. From the measurements I have taken with a infrared thermometer, the ""slow"" cycle has a differential of 0.7 degrees. This seems to be inline with what Emerson says (actually, they say within 1 degree).

Important note: If your home loses internet access, you will NOT be able to control the t-stat, even when you are at home on your local intranet. Some systems still let you access your devices via the local intranet, but this t-stat require cloud access 24x7.
Now, in case your t-stat screen is locked, and you lose internet connection, you have no way to do any changes on the wall unit since the screen is locked and your mobile is the only way to unlock it. In this case, Emerson has a key sequence you can press on the wall unit to unlock the display. (btw: the screen lock is a feature that you enable on the t-stat to prevent people from making changes on the wall unit)

Small issues:
The light switch at the top of the t-stat is hard to find and press. I never hit it on the first attempt. Always have to feel around at the top and press hard.

There is one problem I constantly hit. I goto my Sensi app and change any setting (temp, lock/unlock screen). The Sensi app accepts the setting changes, so you think all is good. However, when I look at the t-stat on the wall, no changes occurred (see attached picture). This has happened numerous times each day since I have had it. Called support and they are not aware of any issues. In each failure, my wifi signal is up - no problems with wifi.
After a few days of this happening, I see the problem. It does not appear to be the t-stat, but rather the Sensi app itself. It somehow is hung up, but gives the appearance that it is operating. If I kill the app, and restart it, the sync up to the t-stat is working again. Each time that the app behaves this way, I just kill and restart it. Works every time. So, each time I use the app to make a setting change, i just kill the app and restart when I need it.

The accuracy of the t-stat is pretty accurate (within 0.5 degrees of my infrared thermometer)

Overall, love the product. I can easily control my t-stats from my mobile or directly from the wall. Makes life very easy now. BTW: Works great with Google Assistant. I use my Android phone to adjust temperature settings (i.e. Hey Google: Set the temperature to 70 degrees"")

Update: 12/10/18:
Product has worked flawlessly. No issues at all with wifi connectivity. Never had a dropped connection. Both wifi and 4G LTE connections always connect just fine. When making thermostat changes on your cell phone (wifi or 4G LTE), changes take effect within a couple seconds. Also, the problem mentioned above regarding the app freezing when your cell gets out of sleep mode, this has been fixed a while ago in an updated Sensi app. All around, everything works great. Love this product - makes it very convenient to remotely control your AC.

Update: 3/1/2020
Everything has worked flawless. Still have original Energizer AA batteries (full bars). Never had any LTE/Wifi connectivity issues.

Update: 4/2/2021: Not a single problem. Works flawlessly.",4.0 out of 5 stars
Jim & Renae,"Reviewed in the United States on July 19, 2019","We wanted a new thermostat for several reasons. The old Honeywell was working fine but it had several deficiencies. First, it was too easy for our grandson to change the settings. And the display was hard to read unless you stooped right in front of it. And the programming was a nuisance.

Searching for a thermostat with screen lockout we discovered that none of the good ole Honeywell residential thermostats have this feature. So we moved-on to almost-as-good - almost-as-old Emerson which has this feature on most of their residential products. Out utility company offers a $25 rebate on programmable thermostats and a $100 rebate on WiFi thermostats. With a Prime Day price of $75 this thermostat is basically free. However we were concerned by all the complaints about setup and network problems. So here is what we found.

The good -

1) Excellent manual controls and screen visibility, copied from the refined design of the legacy Emerson line. Most other WiFi thermostats have too much screen clutter in the attempt to eliminate buttons. Old-fashioned buttons really are better for the most common functions even if they don't look stylish.

2) You can control almost anything you want from your smart phone - after you complete setup.

3) You can configure this thermostat to work with almost any kind of HVAC system.

4) You have plenty of flexibility to create multiple programs with as many or as few schedule steps as you wish. For example you can have separate schedules for when you are home, when you are gone temporarily, when you are gone for months at a time. Some reviewers have complained about the difficulty of programming your schedule. Maybe Sensi have improved the app, but I found it reasonably easy to program, given the flexibility.

The bad -

1) The WiFi setup is very finicky. Were I not an engineer with many years of experience with communications equipment I might well have floundered. Common security features in WiFi routers can defeat your efforts. I would note that I recently installed a smart sprinkler controller that is completely programmed from my smart phone and has full remote access capability. WiFi setup was a breeze. I did not have to touch my WiFi router configuration at all. Sensi could do a lot better.

2) The manuals. Yes Sensi, some people do read manuals. Once you get past the simpleton stuff yours are rather poor. ""See the App"" (which has limited help on some topics) is not a good answer. Things like a list of the menu options and what they do - would be very helpful. The other Emerson thermostats have good manuals - so should yours.

3) Don't bother to call Sensi tech support. You will spend a lot of time on-hold and you might never actually talk to a human. And the support web site was almost as slow. The information is there but you have to be a pro to understand the more detailed stuff. Sensi needs to beef-up their tech support and/or produce a good tutorial on how to connect to a WiFi network. And if they had to write a good tutorial, they might improve their software to make things easier for their customers.

4) I found it necessary to change almost every default setting. Many of the complaints about the performance of this thermostat, arise from not bothering to check every last setting in the app. Better defaults would result in fewer complaints. This problem is confounded by lack of a list of menus and options in the user manuals. If you do not browse carefully through the app, you might miss the setting that you find most annoying.

5) You can control virtually everything else but not the fan schedule. A simple ""Fan On or Auto"" check box in each schedule step would be great.

The gory details -

If you have read this far, you might want to benefit from some of my experience setting-up this device for my network.

1) First let me explain my network setup. Basically my network has a less-trusted domain and a more-trusted domain. In the less-trusted domain sit my smart TVs, Game controllers, a laser printer that anyone can use, VoIP and media gateways, smart home sprinkler and thermostat controllers, etc. In the more-trusted domain sit my server, laptops, a color laser printer, and a very few other devices.

2) Between my cable modem and my less-trusted domain sits a simple but bullet-proof Ubiquity firewall router/switch. Hanging-off the Ubiquity switch in the less-trusted domain, are a VoIP gateway, a WiFi router/switch, a printer and a guest Ethernet port.

3) The WiFi router/switch serves as a second firewall between the less-trusted and the more-trusted domains. The WiFi hub has both 2.4 GHz and 5 GHz channels, with separate private and guest access, for a total of 4 SSIDs. The router steers the guest SSIDs to the less-trusted domain and the private SSIDs to the more-trusted domain. The private and guest SSIDs have different WiFi access codes (passwords) so both domains are ""secure"" (in the WiFi sense).

4) By default the guest WiFi clients cannot see each other on the less-trusted domain. This is a common security feature in WiFi routers that support guest access. And it is one of the features that trips-up installation of the Sensi thermostat, but not my smart sprinkler controller.

5) Observing the network interaction between the Sensi app on my smart phone, the Sensi thermostat on the wall, and my WiFi router, at some times the app and the thermostat are operating point-to-point over the WiFi and sometime via the router. So-far so-good. This is expected behavior. However some of the router traffic uses LAN (Layer 2) addresses and some uses IP (Layer 3) addresses. This mixture can mess things up if the network is not configured exactly as the Sensi software developers expected.

6) Sensi should test with other common network configurations. As I mentioned my brand X sprinkler controller does not suffer from these peculiarities. If Sensi invested more money on software engineering and testing with different network configurations they could save a bundle on support costs and customer returns.

My recommendations -

1) Configure your smart phone to use the same WiFi SSID that you want to use for your Sensi thermostat.

2) Be sure this SSID is only available for 2.4 GHz.

3) Go through your router settings to ensure that every WiFi client of this SSID has unrestricted (LAN as well as IP) access to every other client of this SSID.

4) Run the Sensi app through the complete installation and registration process.

5) After everything is working you can restore your normal network configuration in your router and smart phone. Do not change the SSID for the thermostat.

6) If you need to change the SSID for the thermostat later, go back to start. Reset your thermostat and reconfigure your network. Rinse thoroughly and repeat as often as necessary.",4.0 out of 5 stars
Jennie,"Reviewed in the United States on August 11, 2024","Could only connect wifi once. Got a new wifi router for home and tried to set Sensi thermostat using the sames steps as I did before. However, this time around, the Sensi app would not go to next screen once my phone connected to Sensi's wifi. Did many of the troubleshooting steps as researched (instatlled brand new battery for thermostat, ""rebooted"" thermostat, restarted phone, changed phone's wifi settings, etc.) but to no avail. Now, the thermostat is now just a dumb thermo. Had good potential. If app issue gets fixed, this would be a 5 star.

UPDATE: I was able to reconnect the Sensi thermostat. In my original negative post, I tried reconnecting to new home wifi using a different account email address and a different phone. I eventually discovered that if I log in with the app on the original set-up phone and email address, the app would work. Only thing I would have liked is if Sensi would put a warning to use original email address for account login and phone. I recently read this as a potential fix in one of the Amazon's reviews (I hadn't seen this fix in my earlier research). With the app now working and me being able to check on the temperature setting remotely, this thermostat is an easy 5 stars. The additional options in the app such as setting offsets, cycle rates, a/c protection, et. are just great! I have no c-wire so I use a battery, but it is also great that Sensi provides on their website how to wire for a c-wire (without c-wire adapter) by using a jumper but they provide how to install a c-wire adapter so this thermostat give folks few options. I have central a/c and propane gas heater with no c-wire and the Sensi works for my configuration. I will eventually try to wire using a jumper to set-up a ""mock"" c-wire.",5.0 out of 5 stars
