Profile Name,Date,Data,Star
BornForTech,"Reviewed in the United States on June 23, 2022","So let's look at the model Echo Show 10 itself. Thought it was going to be something like putting a tablet on top of an Apple Home Pod (first gen). Well....it's not. Keep forgetting the Echo Show devices are not tablet user interface devices and the sound quality is not even close to the Home Pod, so just a tad disappointed with that. That said, I do really like the device. I don't have a problem with the Echo UI, in fact i kinda like it better than a tablet. The sound isn't bad, it just isn't what I was hoping for after looking at the design and certainly the price point. The screen and camera quality are really quite good, although when I watch the home screen transition from one picture to another the transition is not super smooth, like maybe the processor is a little under-powered. Not sure about that one tho. The motion feature is nice that it moves to ""look at"" whoever in the room is talking to it (nice feature), the problem is you can turn the motion off, close the camera and still it's gonna move to what ever section of the house has the brightest light. That is so annoying. I might want it to stay looking ""at me"" and not move around so I ask it to play something, turn any motion option OFF and it will eventually move anyway. Drives me up the wall. I think that could probably be addressed in a software OS fix, hopefully soon. Also, when you talk to it, it will move around a lot like it's trying to figure out where you are exaclty. All in all, it isn't a bad device for the living room, picture, sound, camera all nice, just needs the motion adjusted to ""don't move"" means ""don't move"" and they could probably upgrade the processor or maybe adjust the OS a little. If you need an Echo Show and you are only going to purchase one AND don't need it to function as a hub, I'd go with the Echo Show 8 (2021). Otherwise, wait for some changes to this model. Gave it 4 stars for all nice features, but minus one big star for the motion. Does play live video feeds like ABC News really well, that's a plus...and my favorite Sci-Fi (Expanse) looks amazing on it too. If they fix any issues I'll update this review. Hope it helps.
Review Update 9/3/2022: So I moved the Echo 10 into a different room where the lighting was more even and that stopped most of the moving around problems. Then one day it seemed to want to move again and when I was finished a screen popped up that asked if I wanted to change the direction limits. I said yes and it had a great feature I wasn't aware of that let me set the boundaries to the smallest movement possible. With those two changes I have updated my 4 stars to 5. Problems solved and now I don't have to constantly look at the back of the screen. Very happy, really like this product. Thinking about buying another one to replace an Echo 5. The 5 is amazing, but I've gotten to the point where I just want the biggest screen possible, thus the only reason to replace the 5. Good luck, hope this info helps!",5.0 out of 5 stars
Vlad,"Reviewed in the United States on February 25, 2021","I was enthusiastic when I ordered my Echo Show 3rd Gen. It was supposed to be a robot but not quite. Awesome speakers, great camera, rotating screen?! I got it out of the box, set it up and although I was a bit thrown off by the white cord sticking out of the black unit like a sore thumb, I really didn’t have major issues. The problem was that after using it for a bit longer bugs started to pop out.
Bugs observed:
- Screen rotates past you.
- Barely touching the screen for an action result in a path is blocked message.
- Can’t rotate at night because if an area is lit dimly will result in motion stopping and an error message
- Some error messages disappear pretty quickly
- During a video call the zooming, orienting of the lenses is not quite right
- Sometimes it won’t respond to the wake up word.
Hardware wise though, this one is better in every regard than its predecessor, which I considered a 5 star product, so the potential is there. So, while I think they would have benefited from a bit more of development time, I think the potential is there. Hopefully, they can do a firmware update to correct the issues. At this point I am not returning it, but if you haven’t bought it, I would wait for a few updates.
UPDATE JAN2022 (Raised one star):
Some of the most annoying bugs have been fixed but not all of them have. However, the improvements are significant enough that I would consider purchasing another one if on sale. If not,the current Gen Show 8 is really good too.
UPDATE JUL2022 (Raised another star)
This is what I expected when I ordered this device. Haven’t had a bug in a while. Screen rotation is significantly better, stopping at the correct spots and following better. Additionally, a friend that ordered a current gen black Echo Show 8, received a black power cord with it; it appears that Amazon is moving in the right direction with the power cords. Given that those were my main issues with the device, I raised it a star.",5.0 out of 5 stars
Matthew,"Reviewed in the United States on August 11, 2024","These features blew my mind. It is very big, has a MOTOR to ROTATE! And looks nice. It’s a bit lacking in responsiveness but the amazing features such as head tracking and face recognition made up. Would buy again!",5.0 out of 5 stars
tobor,"Reviewed in the United States on January 4, 2023","I've got 9 Echo devices in my home. I've been using Echos (and upgrading to the latest models) since they were first made available. This Echo Show 10 replaced an Echo Show 8 (1st Generation) in my kitchen. I use it multiple times each day to play Spotify, listen to radio (via TuneIn), set timers, etc. The sound quality is very good and I place it only slightly behind my Echo Studio + Echo Sub pair as it pertains to sound quality.

The screen is, likewise, excellent. I have my Show 10 set to rotate a series of fine art prints I've uploaded to Amazon Photos and the colors really pop and look gorgeous on the screen. I find this feature really enhances the ambiance in my kitchen and every time I glance at the screen and see a piece of art I'm glad I purchased the device. I like the screen being larger than the Show 8, although I don't think I'd recommend an expensive ""upgrade"" merely for the screen size.

I have read that many people dislike the number of ads or stories that the Show 10 displays. You can go into settings and select the content you want to see. I've reduced it to only weather and news--everything else is turned off. I almost never see ads and feel that this type of criticism is unwarranted. My Show 10 (like my Show 8) displays content I've allowed and almost nothing more.

The Echo Show 10 loses a star for voice responsiveness. I have it placed in a corner that is pretty wide and open--it's not obstructed in any way. Unfortunately, about 30% of the time the device doesn't ""hear"" a command when I'm standing 4 feet away. Instead, my Echo Studio--which is in an entirely different room--responds. Sometimes it is even worse with an Echo in my bedroom (which is multiple rooms away) responding to my attempt to set a timer whilst in the kitchen. I find it very odd and frustrating. My first generation Echo (the original) did a far better job in this area than the Echo Show 10. And as far as I can tell there is no way to set the mic sensitivity via the Alexa app. That said, the positives still outweigh this negative, but I'm dropping 1 star from my rating.

I'd also add that the ""follow"" feature in which the device's screen moves to face you is not very compelling for me. I can envision other people finding it useful, but for me it seems more like a gimmick. The device is generally reliable following me, but whenever it reaches the edge of the boundary I set it flashes a giant warning message that I'm out of range. That large pop-up is really annoying and there is no way to turn it off. If it didn't flash that warning literally EVERY time I work in the kitchen I might be able to overlook it--as it is, it's just a reminder that Amazon has failed to improve the device. There should be a way to turn off that notification.

The Echo Show 10 is a decent device, but I'm not so sure of the value proposition. Adding a motor to turn the screen increases complexity and cost yet the benefits of this design are not compelling. And because this is the only device in the Echo lineup to employ this feature, Amazon hasn't really prioritized improving Echo Show 10 functionality. I don't know what is going on with the mic sensitivity, but it's not as good as it should be. The sound quality, however, is solid, and the screen is decent and a great size.",4.0 out of 5 stars
C,"Reviewed in the United States on February 25, 2021","The new Echo Show 10 (3rd Gen) is a big improvement over the previous 2nd Gen version. The Show 10 is now attached to a swivel base that lets the Show 10 constantly rotate to face you as you move around the room. Other changes include: a new speaker configuration, MUCH better camera, better processor, and Amazon Sidewalk support. Here are my thoughts so far:

THE GOOD:

-SETUP – Setup was super easy. The Show came configured to my account, I didn't have to log in or even enter wifi passwords. It connected, downloaded some updates, and then walked me through customizing the range of motion.
-MOTION- This is the most obvious new improvement. The Show 10 will now track your movement and turn to face you as you move around the room. The Show seems to have very good facial tracking, and it will rotate on its horizontal axis to follow you (you can also manually tilt the screen up and down to your desired vertical position.) We tested this while playing movies and while viewing our remote cameras, and it worked perfectly. We also tested with multiple people in the room; and the Show seems to lock onto one face and moves to follow that face, until it can't see that face anymore and will move to another face. Or if someone uses the Wake Word “Alexa,” it will turn toward where that voice was coming from. This also works for video calls, though we noticed that on video calls the Show will rotate to try to keep ALL of our faces in view. Sometimes this might mean it faces in between two people so that the camera can see both of us, and then automatically zooms the camera in or out to adjust. Which brings me to the next big improvement:
-13MP CAMERA – We were very impressed with the quality of the new camera, and with the tracking technology it uses. Not only are images crisp and detailed on video calls, but the camera will actually automatically zoom in and out to adjust to the people in the shot. For example I can back up from my kitchen into the living room, and the camera will zoom in and follow me. When you combine this with the movement and facial tracking, it is almost like having your own camera man follow you around the room on your call. The family members we called said they could see so much more detail. There is also now a physical shutter that you can close to cover the camera if you want to.
-SPEAKERS – The old 2nd Gen Show 10 had dual 2” neodymium drivers, but this new 3rd Gen Show 10 has two 1” tweeters and a 3” woofer. I can definitely tell the difference, although I really don't use the Show for listening to music very often. In testing out a few songs, I noticed that the new 3rd Gen seems louder at max volume, and less muffled. Definitely an improvement, though maybe not quite on the level of the Echo Studio.
-PROCESSOR – The new Show 10 has both an upgraded main processor, and also a second Amazon AZ1 processor. This should result in slightly faster repose times, and better future performance; although I really haven't been able to tell much of a difference so far. AZ1 is supposed to be faster and more efficient, and allow voice commands to be processed locally instead of having to go to the cloud; so we'll see if this is noticeable in the future.
-ZIGBEE/SIDEWALK – The previous version included a Zigbee hub, but this version also includes Amazon Sidewalk compatibility. Sidewalk is a long range connection technology that Amazon plans to use for devices that will be able to reach much further; (the initial announcement estimated up to half a mile). This technology isn't really being used yet, but it is nice to know this future tech is built in.

THE BAD:

-WHITE POWER CORD – Yes, for some reason that same white power cord that ships with the Echo 4th Gen is also included for this Show 10. No matter what color Show you get (I got black), you still get a white power cord. I'm a little surprised that they went with this decision again, but it really doesn't bother me much at all. Just thought I'd mention it in case that matters to you.
-LARGE FOOTPRINT – Since the device rotates, you really have to be careful about where you put it. The Show 10 comes with a footprint guide, that suggests that you make sure you have enough space around the device to avoid the screen knocking over a glass of water, for example. This also wasn't a big deal for me, but keep in mind you will probably need more space than the previous version. The specs recommend a 10” by 15” space, but I think you could get away with less.

*Note – You can disable the movement by saying “Alexa disable Motion,” or by turning it off in the Alexa app on your phone. Also, when you first setup your Show, there is a slider bar that let's you choose how far the screen should rotate in each direction. It seems to go almost 360 degrees maximum, but you can limit the radius so it turns much less. You can also change this in the 'Motion' menu under Settings.

Overall, I am VERY pleased with this new Show 10. The camera clarity is great, and the face tracking technology is so impressive; there's just nothing else like it for video calls to our family. This is a huge upgrade!",5.0 out of 5 stars
MsGadget,"Reviewed in the United States on August 18, 2024","Got The Show for the Blind Man, he had the Echo for years these units are his link too the seeing world. I have Dry MD & Glaucoma so the whole process has been a challenge too say the least!!! The grt grandson snuck a video call too his mom I walked into the room & He put the thing in privacy mode!!!! The show wouldn't work properly Alexa wouldn't respond. Had to wait till daylight the next day looked at all reference too no avail. I asked the old echo in the kitchen how to disable privacy she knew told me there are 3 buttons on top & one is the privacy deal!!! I pushed the correct one & now we are back in business. For visually impaired black on black is so hard too differentiate.!",5.0 out of 5 stars
Vincent,"Reviewed in the United States on February 26, 2021","I have owned the last two Generation Echo Shows. The Echo Show 1 & Echo Show Gen 2. The Echo Show 10 solves all the issues that the first two devices had, and adds even more features jam packed into one great device.

Now before I get into the meat and potatoes — let me tell you about the truly magical experience I have had with this device. It arrived in a box almost double the size of the previous model — and this device is BIG! The screen is huge! The speaker is also apparently much more powerful than the last generation — and I can tell, that is most definitely the case.

But the true magic comes when you power on and set up the Echo. The Amazon team really did wonders creating this device. Both the camera and the AI in this thing are crazy good. Assuming you have motion enabled, as soon as you say the wake word, i.e., “Alexa” the device honed in on my direction, rotated towards me, and began listening.

If you walk around the room, this device follows you. You can’t understand how cool this is until you try it out. I would upload a video, but I’m sure you can look it up on YouTube, and there will likely be hundreds of reviews showcasing it here.

There’s something about the tracking technology that Amazon has gotten just right. I called up my Grandma who has my old first gen echo show, and she didn’t even realize we were conversing as I was walking around my room. She thought I was just stationary the whole time. When I pointed it out and showed to her, her jaw dropped.

The way the camera zooms in on you, and the range of video it can show is phenomenal. I can jump onto my bed (my echo is on my nightstand) and the echo will zoom in and focus on me. When I go off the side of my bed, it follows zooming out, and can follow my body all the way as I walk back across the room towards the device.

It all feels so natural. The only thing that is missing would be if the Echo device itself moved! You can now have a conversation with someone when moving around your environment, without having to remain stationary.

In a kitchen, a home gym, or anywhere you’d want to talk with someone actively, this device would be really extraordinary to play with, especially during covid times.

I use my device in my room as an Alarm clock — so previously, my camera would be staring across the room as to not let me look at the screen if needed (for time/alarms, etc). Now, with the camera cover, I feel much more comfortable covering the camera and rotating the device to look towards me at night.

Now, take these into consideration as you decide if you want to purchase:

First, if you want to get the latest and greatest Echo device, the purchase is a no brainer. I am an Amazon loyalist, and can say that even from first impressions, this device blows all other Amazon devices I’ve owned away.

Second, if you’re a user who doesn’t mind the camera being uncovered, then you’ll have no problem with this device. You’ll love it. The motion features will be left on 16/7 for me. I wouldn’t be comfortable allowing having the camera on while I’m sleeping (and staring at me), but for a public area in your home — who cares? I wouldn’t mind, I’d leave it on all day — it following you around is magical.

Third, if you fall into the second issue above, you CAN use the camera cover to disable motion. If you don’t mind sliding the cover open and closed every morning/night, this could work for a nightstand alarm clock, and the hassle/inconvenience would be worth it.

Pros:
- Motion is magical
- Camera is high definition
- Sound is great. Music sounds lively. Lyrics on screen that follow you around the room
- Adaptive screen dimming still works even when camera/motion is blocked/disabled
- You can manually rotate the device when motion is off i.e. I’m going to bed, to point it towards me. I don’t know if that’s safe for the motor — I’ll ask Amazon!

Cons:
- If your room doesn’t have a full range of motion, the Echo might get confused when following you around. Since it is on my nightstand, the echo really only needs to turn about 90° to see in front if itself, and when I go to the left of my room. If I go to exit my room, it might start losing tracking, which could probably fixed in a future OS update (to halt moving at a specific point, which it already does).

Bottom Line: I 100% recommend this as an upgrade to an old device or a new device for any potential Echo owners. If you don’t feel comfortable with the motion controls, turn them off, but you won’t get the full package and what I think is the biggest selling point of this device. Put this in a public room and try it out — you won’t regret it.

EDIT: After seeing more reviews a few points to mention:

1. White power cord. Who cares? You dock a star for this? Don’t listen to normies giving poor reviews who think the color of a power cord which is draped out of sight will have any effect on how the device improves over it’s predecessor
2. Complaints over resolution: if you’re not buying this thing to watch full-fledged movies on, it’s fine. You won’t notice.
3. Complaints over tracking: it won’t track you with the camera in the dark. A future models can probably have an infrared light added (similar to FaceID) to fix that problem.
4. I saw someone complaining about Airplay and multiroom audio. Echo devices support multiroom audio through Amazon’s Ecosystem — not bluetooth. It has never supported that. Why would you expect this to change without notice?

Don’t listen to the haters. People reviewing are acting as if this device isn’t 5x better than the last generation of the Show. Motion is a stellar addition that would bring moving smart devices into the mainstream. No one here knows what a
the Facebook Portal is, because there was never a solid backing behind the product line. Echos are in homes across America, and I’m sure that this will lead to better smart devices from Amazon in the future.

For reference, I have owned an: Echo Show 1, Echo Show 2, Echo Dot, and have coded ~5 Alexa Skills. I know these devices. This gen is great. Give it 1 month and these will be 5/5. These reviews all read so fake. Who purchases a device and returns it same-day due to a different colored power cord? Who returns a device that doesn’t do something they expected when it was never said the device did it?

Low-information consumers and people with too high expectations... there’s a reason why it’s called PRE-ORDERING, because you KNOW you are going to like it and/or take what you get. No one forced you to buy a day 1 device.

TL;DR: Don’t listen to bad reviews. Buy this if you’re in the market.",5.0 out of 5 stars
RhonRee,"Reviewed in the United States on August 17, 2024","I love the echoshow10. The screen is the perfect size. And the sound is very clear when Alexa speaks…. and my music sounds great.
I love the feature to look up recipes. And Alexa helps me find everything I need.
It also suggests current news clips on the screen and I can watch short clips of current news if I choose.
The tilt screen is way too place where I can see. I love the follow me feature.
I don’t know how I lived without this. I use it A LOT.
Set timers, reminders, and make a shopping list i can make verbally and my shopping list shows in the app on my phone at the store.",5.0 out of 5 stars
kenya Garcia,"Reviewed in the United States on August 5, 2024","I recently started using the Amazon Echo Show 10 (3rd Gen). Here’s a review focusing on its convenience:
Convenience:

The Amazon Echo Show 10 (3rd Gen) is an incredibly convenient addition to my home. The standout feature is its ability to move and follow me around the room. The smart display’s motorized base means it rotates to keep me in view during video calls or while watching recipes and tutorials. This hands-free feature is fantastic for multitasking—whether I’m cooking, working out, or just moving around the room, the Echo Show 10 stays with me, ensuring I never miss a beat.

1. Smart Movement:

The Echo Show 10’s ability to automatically pivot and track me during video calls or while I’m interacting with it is a game-changer. No more awkward adjustments or missed moments—this device ensures I stay in the frame and can see the screen clearly, regardless of where I move.

2. Crystal-Clear Display:

The HD display is vibrant and sharp, making it perfect for watching videos, browsing photos, or following along with recipes. The 10.1-inch screen size is just right—not too big and not too small—offering an excellent viewing experience without dominating my countertop or desk space.

3. Premium Sound Quality:

The sound quality is top-notch, with rich, clear audio that fills the room. Whether I'm listening to music, catching up on the news, or watching a movie, the Echo Show 10 delivers an immersive audio experience. The built-in speakers are powerful and provide crisp sound, enhancing the overall convenience of the device.

4. Voice-Controlled Smart Home Hub:

Integrated with Alexa, the Echo Show 10 acts as a central hub for my smart home devices. I can control lights, thermostats, and other smart gadgets with simple voice commands. The convenience of managing my smart home from a single device, especially with voice commands, simplifies my daily routines.

5. Video Calling Made Easy:

The Echo Show 10 simplifies video calls with its high-definition camera and auto-framing feature. It’s easy to connect with family and friends, and the camera ensures that everyone in the room is visible and in focus. Plus, the privacy shutter provides peace of mind when not in use.

6. Interactive Features:

The touch screen interface is intuitive and responsive, making it easy to interact with apps, view photos, or check the weather. The device integrates seamlessly with various services, including Amazon services and third-party apps, enhancing its versatility.

7. Home Automation Integration:

The Echo Show 10 works well with other smart home devices, allowing me to automate tasks and create routines. Setting up routines for daily tasks like turning on the lights or adjusting the thermostat is straightforward, making home management more efficient.

Cons:

While the Echo Show 10 excels in convenience, there are a few minor drawbacks to consider:

1. Size and Placement:

The device is relatively large and requires a bit of space. Its size might be a consideration if you have a smaller kitchen or desk area.

2. Price Point:

It is on the higher end of the price spectrum for smart displays. While the features justify the cost, it may not be the most budget-friendly option for everyone.

3. Motion Tracking Sensitivity:

While the motion tracking is a fantastic feature, it can sometimes be overly sensitive. In certain lighting conditions or with rapid movements, the device may have difficulty keeping up.

Final Thoughts:

The Amazon Echo Show 10 (3rd Gen) is a highly convenient and feature-rich smart display. Its ability to move and track users, combined with excellent sound quality and a sharp HD display, makes it a valuable addition to any smart home. Despite a few minor considerations regarding size and price, the Echo Show 10’s functionality and ease of use make it a worthwhile investment for those looking to enhance their smart home experience.",5.0 out of 5 stars
A. Pena,"Reviewed in the United States on April 9, 2021","Full disclosure, I receive gift cards from my place of work from time to time and I used some of that money to pay for half of this unit, though it is not related to Amazon of course so this review is fully of my own opinions.

I own a few of the Amazon Echo show units dating back to the original Gen 1 Echo Show (7 inch). I currently still own that unit and had a place in my kitchen for several years. My wife now working from home needed an Echo in her upstairs office (where it was becoming troublesome to reach her from the other end of the house) so instead of purchasing an all new one, we decided based on her casual usage that we would replace the Gen 1 Echo Show with the latest generation for the kitchen. At the time, I wasnt aware of the new Echo Show 10, but was intrigued to find out there was a new version with a motorized screen display. I am somewhat of an early adopter, but my profession is in computer/electrical engineering and wanted to see if this was worth the substantial increase in costs. The gift card funds just help take that sting out of the purchase that made the decision easier over the costs of the non motorized Show product line.

Unboxing:
Unboxing was straight forward if you are familiar with the Show lineup and not much to say other than that reviews had led me to believe the unit was big, but I was not surprised by what I found. Essentially a large speaker base with what appears to be a tablet stuck to it, not that surprising and what anyone would expect. The cable like many others have mentioned on the charcoal colored unit is a bit annoying that it is white, but not the end of the world. Just would have appreciated more attention to this detail. Packaging looked well capable of protecting the unit as it was a box within a box, within another Amazon box, but this is where I have a small gripe. Did we need 3 boxes for this, Amazon, please work on the overuse of packaging for wastage.

Setup:
Setup was pretty standard if you have ever performed an Echo setup, but a bit elongated to perform the turning radius setup limits which is handy if your Show will have objects nearby or walls to contend with. I have none in this case as it is going at the end of the counter bar that divides the Den area with the Kitchen area. It can turn 360 degrees freely and this was easy to see how to limit or run unhindered. The rest of the setup was just confirming the Amazon account, wireless connection, and home screen details. All within about 3 minutes or less.

First impressions:
My first impressions were the unit is very sleek looking and the weight seemed adequate for the unit to be stable on the bench. The screen was perfectly bright and just the right size to view from a reasonable distance. The speed of the rotation as some have mentioned being too slow I found just fine as I want it to be quiet (which it is in motion - perfectly silent) and yet not aggressive in the movements as to call too much attention to the unit. My family thought it was pretty interesting how it can follow if you interact with it, but normally it stay put unless you ask it a question. In locating the person to point at with the voice trigger, I actually found the unit a little less sensitive to the wake command than any of my other generation units including the latest 8 inch and 5 inch Show units (I own 4 x 8 inch units and 4 x 5 inch units, along with 3 echo dots). In fact I have an upstairs Echo Show 8 (open ceiling through the Den into the movie theater room, that many times ""bongs"" to the wake command sooner than the kitchen one will standing within a few feet of this new unit. This isnt a huge issue once you get used to it, but I hope Amazon tweaks the sensitivity of the wake command to be more in line with other models in the lineup. One of the reason I got this new unit was my impressively fast results with the other latest generation Echo Show 8 units being so fast to work a command over the 1st generation.

After a few weeks of usage:
I have found that the unit motorized feature is a little bit of a novelty, but in daily use it has been a welcome change. For the price difference, I am right on the fence of whether I would pay the difference knowing what I know now and I know that may not help anyone reading this, but it is really right there with I would or wouldnt pay the extra. As the price knowingly will come down over time, this should become easier to make a decision.

Sound Quality:
Sound quality is above par for my expectations, as it is more clear than the preceding model. It has more depth to me and sound dispersion to 360 degrees is far better than the rear/side facing speakers of the past. Potentially largely due to the screen being out of the way which is a bit expected. Louder volumes were reached without distortion compared to previous units and the highs were clear and pronounced without overdoing it. Happy with this as an area speaker, but this wont replace your bookshelf stereo for instance. It can be paired with other devices so you can expand this if necessary.

Motion tracking:
As mentioned from others, this is a bit laggy, but in the ""works well enough"" category. It is not quick to jump around, but can trail someone easily walking around. What I found is that it rarely loses focus of the individual completely even though it will trail the motion. And if the user is continuing to speak, it almost never loses track of the user in my testing. Of note, it of course does not track up and down as the motorized function is swivel only, but the wide angle of the lens makes this mostly unnecessary.

Final verdict:
Would I get this again? In this same scenario, definitely, no regrets. Had I needed to pay the entire amount? At $250 at the time of writing while the 8 inch is $109, this is a hard justification, but when we remember that a year ago the previous 10 inch model was selling for $229, it gets a lot easier to see that the extra $20 delivers quite a bit. Better sound, motorized swivel, a better screen, and a much better tilt/angle/level than the previous unit had out of the box. I think this is a win, if it isnt a solid win over the previous generation. I hope that the mic sensitivity gets better with updates, but I dont have many complaints over what is delivered today from this model.",4.0 out of 5 stars
