Profile Name,Date,Data,Star
Chris_in_MA,"Reviewed in the United States on October 17, 2018","Short & Sweet - For what it is, this device is amazing. Performance is quick, audio is great, and the built-in Zigbee hub works quite well.

Longer Review;

After dragging my heels for over a year, I finally bought our first Echo (2nd Generation) back in August. I loved it so much that I got us 2 more for other areas in the house. Being able to group them and play the same music or audio throughout the house is a novelty that won't grow old for me. I've only wished that they had a little more full sound, especially at higher volume. I'd considered the last Echo Plus, but the average of reviews I read didn't make it appear to perform significantly better than our already great 2nd Generation Echos.

When I saw this new Echo Plus listed, I pre-ordered it to ""replace"" the Heather Grey Echo in our kitchen and move that one to our bedroom. We tend to have music playing in the kitchen more than any other room, and I wanted slightly better sound than the regular Echo in there. I'm honestly glad we took a chance on this device without any reviews to go by.

Appearance;

As you can see in the photos, it's pretty much identical in height to the 2nd Generation Echo. It is a bit wider to accommodate the larger speakers, and the top is slightly domed instead of being flat. A similar 7-microphone array is on top and they seem to work just as well. There also appears to be a tripod-style connector on the base of the unit.

Setup;

Setup was surprisingly easy as this Echo Plus detected our network settings on its own. I plugged it in, it did its initial startup, and then told me the device was connected. Simple as that.

Audio compared to 2nd Generation Echo;

Highs are clearer.
Mids are more natural and better-defined.
Lows are deeper.
Overall volume is noticeably louder and sound quality is improved.
When paired with our other Echos, music and audio is in sync everywhere and this device stands out above the others in audio performance.

General Performance;

We have a quick network and I don't notice any perceivable performance difference between this new Echo Plus and our regular 2nd Generation Echos. Everything seems to work as it should.

I bought this with the ""free"" Philips Hue bulb promotion. This bulb is our first Zigbee device and works very well with the Echo Plus. It is easily controlled by either the Echo Plus or the other Echos we have in the house. I'll be keeping an eye out for deals on these bulbs in the future. Like our other Echos, it also has no problem controlling our Kasa Smart Plugs.

Overall;

While $150 is a lot for a single speaker, for what I was looking for, this thing excels. If you like the 2nd Generation Echo but hoped it sounded a bit better, I would highly recommend this. Based on what I've read, if you were disappointed with the audio performance with the 1st Generation Echo Plus but want everything else it had to offer, consider giving this wonderful speaker a try.

P.S.: The internal ambient temperature sensor seems fairly accurate and nice to have included.",5.0 out of 5 stars
Jazzyguy,"Reviewed in the United States on September 15, 2019","I bought this speaker on a whim. I'm already the owner of a couple of Echo Dots. I have one paired with a Samsung sound bar in my living room. I had the other connected to a Vaux speaker in my bedroom. I was fine. I didn't need to buy the Echo Plus. Or so I thought.Yesterday, my girlfriend bribed me to go shopping with her at an outlet mall by telling me I could have free reign in the Bose store located there. I was pretty impressed by the Bose Home 500. Great bass. Exceptional stereo separation. Very large price tag—even the factory referbished model which I was considering buying. Ultimately, the price tag, as well as some unresolved questions I had concerning compatibility with other devices caused me not to purchase the Bose speaker. But it did get me to thinking. Could I get more premium sound in my bedroom? Could I get better sound out of my Amazon Fire enabled TV?Initially, I planned to buy the Echo Plus directly from Amazon, but I elected to buy it from Best Buy, because I would've had to wait for three days for Amazon to ship it to me. We do live in an age of instant gratification, don't we?I got the tiny Amazon Plus home, unboxed it, and had basic setup completed within two minutes. Following that, I paired it with my Amazon Fire enabled TV, and I started putting the speaker through its paces.Overall, the sound quality is very good. Not exceptional, but very good. The bass is punchy and loud. The stereo separation is underwhelming, but the quality itself almost makes up for that. With a little tweaking of the bass, mid, and trebble settings, I was able to get the speaker to sound more than acceptable at all volume levelsAfter playing with the TV a bit, the next task was to add the speaker to my media groups. Nothing could ever have been simpler. I then set about pairing the Plus with my outdoor speakers—a pair of Sound Appeals which I also bought from Amazon. Again, almost too easy. Then I paired the Plus with the water proof bluetooth speaker I use in my shower. Easy again. Best of all: The plus automatically connects to the TV and the additional speakers whenever I turn them on.My next task will be to pair the device with the free smart bulb I received with my purchase. I anticipate no problems.Bottom line: Great sound and easy and versatile connectivity for a great price. I could not be ghappier!",5.0 out of 5 stars
Homer,"Reviewed in the United States on October 16, 2018","I am a huge fan of the Echo. I have the tap, the dot, the standard Echo and an Echo smart speaker, and now the plus.

This one is definitely a step up. The best sound and response of all the previous models.

In a nut shell
The dot is ok. Limited quality sound but small and unobtrusive. Nice for a bedside alarm, weather information and morning news while shaving.

The tap is the portable and battery powered option that I use in the morning. I listen to a streaming cable news show. I listen to it while in the shower, (it is not waterproof but I have a shelf far from water that it sits on), then while I shave, and I put it in the closet while getting ready and dressed. It's like a portable radio but it allows me to stream internet cable and listen to anything I want.

The standard Echo and Echo with smart options is a great device. The addition of the smart features is ok. It allows you to turn on lights and fixtures, but going into a dark room and saying, ""Alexa, turn on lights!"" is not as easy as flipping a switch. It is ok for lights that are not near the bed and your heading to sleep. But, you'll wake people up by shouting the wake up command.

This one is good for two reasons:
1.) The sound is great. Better than the others.
2.) I got a smart switch and can use it to turn on any number of devices. The hook up was easy and flawless.

Also,
Alexa is adding new skills. If you use a sound machine, she has a sound maker for sleeping. Wake up to the weather, the stock market, the news, a fact from history, and a joke of the day.

If you are on the cusp of buying this device, making this your first Echo would be a great choice. If you have an Echo or tap, this is a good upgrade.",5.0 out of 5 stars
J. C. Lindy,"Reviewed in the United States on September 28, 2020","I love having my Echo in the kitchen where I can listen to music (great speaker quality including bass!), podcasts, baseball games or news. I have used it to remind me of important meetings, check the weather, and of course, check the progress of ordered Amazon items. I also have 4 Echo Dots and an Echo show in the the house and it's been very nice to be able to link them and play music all over the house while I am cleaning or check in on the grandkids playing upstairs and call them down for dinner. It is also linked to our Ring doorbell which is very helpful because we have the system but no extra chimes so it alerts us through our iPads and phones which sometimes are set on mute and so fail to alert us of someone at the door. The Echos are much better for that, and that skill was easy to enable. We bought one for our mountain cabin, and I even talked to my husband there from home without a phone, because the Dot there is connected to our account. We can also listen for any activity there. My Echo Dot in the patio room helped me when I was accidentally locked out of the house without my phone. Luckily the patio window was open so I just called through it to Alexa to call my husband to come back to the house to let me in. I keep thinking this would have so helped to have when my father-in-law was alive. We tried to get him to wear a life alert after a few dangerous falls, but could never convince him. We could have set him up on internet (which he would never want on his own) linked a few dots and if he fell, if he could still speak, he could call us, OR we could check in on him and if he didn't respond, we could call for help. I mention this in case someone reads this who has an elderly relative who is resistant to using those other systems. Overall, I love the Echo Devices and find I am discovering more and more helpful functions they perform.",5.0 out of 5 stars
Amazon Customer,"Reviewed in the United States on February 12, 2019","Pro bundle with Sub Overview

Pro: Quality Built, Quality Sound, Functionality, Small form factor, Volume (low and high), Perfect amount of Base

Cons: Connecting all three to act like a system is finicky and dosen't work when you set it as an alarm. Only will play off one so you miss out on some of the rich sound when waking up. But a plus since it isn't as loud.

Long Review:
I have to say these are amazing. I have had a lot of amazon products and these surprised me the moment I started them up. First off these get loud for their size and the audio clarity is amazing. They are crisp, clear and sound amazing. Now if you like heavy heavy base then these aren't the speakers for you. I bought the package with 2 speakers and the sub and they are perfect for me. The base is well controlled and gives the sound that is lacking in many speakers but if you want the base to shake the walls and make it sound like a floor speaker with a 12 inch amplified drum then don't try. But if you are looking for a clean, rich, bold and sophisticated listening experience then these are amazing. Much better than anything I have tried in the $350 price point.

If you want something that is loud, base heavy with good high and mid tones better than this then look at spending 700 or more. I listen to everything from classical music to EDM, Rock, rap, pop, country, jazz and folk and these just keep impressing me. The vocals aren't drowned out and you can hear all the instruments and the base fills in the lows at the perfect listening experience.

Summary: If you are looking for rich, deep, bold music this is the set for you. Better than anything in the 350 to 450 market. (I have tried 20 in this market) If you are looking for wall pounding, rave quality base then you better live on your own or in a frat house cause more than this you will need a floor speaker with amplifier and thick walls. PS I own a full amplified speaker set housed in my living room for when I was in college and a fraternity. Nothing against them but horrible for all day listening and having friends over to talk and not drink all day haha

Note: I have both echos and the sub in my bedroom and the room is too small for all 3. I barley raise the volume past level 3, maybe 4 if I am listening to them in the shower. I moved them to my living room for the pre and post Superbowl party and they filled a medium 4 bedroom 3 bath house with crystal clear music.",5.0 out of 5 stars
Eddie Jay,"Reviewed in the United States on February 2, 2019","Enough has been written about the Echo Plus that I don’t need to go over all of its features. I will say in general that it looks cool, sounds fine (maybe a 5 out of 10 compared to real speakers), the music playing capabilities are excellent with Amazon, Apple, Pandora, and Spotify, and the voice recognition is ok - good not great. I had no problem connecting to a Phillips Hue bulb and eventually an Echo dot and a smart outlet. I use all the time to play music and radio, control lights, and make shopping lists. I bought on sale at the end of 2018 for $97.99 which I think was a great deal.

That said, I want to focus in on a four major issues that I wish I’d known about before buying:

1. Podcasts
There is no native podcast skill on Alexa so you need to get podcasts through TuneIn, Stitcher, iHeartRadio, etc. All my other devices (computer, mobile) are Apple products where I use the Podcast app to listen and sync. The podcasts I listen to are not all on any one of these skills so I would need to download all the ones I need to keep podcasts synced between Alexa and my iPhone which is too much trouble. Plus I have a heck of the time trying to tell Alexa what podcast I want to listen to - who remembers the episode titles or numbers of the podcast they are currently listening to? Even just asking it to play the latest episode of a podcast wasn’t working for me 9/10 times so I just gave up and figured I will connect my iPhone over Bluetooth when I want to continue a podcast. But that brings me to my next issue:

2. Bluetooth connections
I was successful at pairing the Echo to both my iPhone and iPad but Alexa can’t connect to the one I want when I ask it to. If I ask to “connect to my iPhone”, it connects to my iPad. If I ask it to “connect to my phone”, it still connects to my iPad. The only way to get it to connect to my iPhone with a voice command is to turn Bluetooth off on my iPad - annoying!

3. Multiple users
This is a big one. It is great that the Echo can have multiple users on it, so my wife and I can share the Echo using our separate accounts which are linked in Prime under the same household. You can even set it up to recognize each of your separate voices. However, ONLY THE PRIMARY ACCOUNT CAN CONTROL THE SMART HOME DEVICES. This means that if I want to control the lights and the Echo is set to use my account, I have to tell it to switch to my wife’s account first, then give it a command for the lights. Furthermore, you have command it to switch between accounts to use your personal skills and settings. Given that it can recognize my voice as distinct from my wife’s, I thought that if I asked to play something on Pandora, it would automatically play from my account. Nope - I need to tell it to switch from my wife’s account to my account, and then ask it to play something on Pandora. Want to turn the lights down? Have to switch back to my wife’s account. Want to play something else on my Pandora? Have to switch back to my account first. What is the point of having voice recognition if it can’t automatically detect who is speaking and use that person’s account? And what is so useful about having multiple accounts if they can’t both control the smart home devices? I can't control the smart home devices from my app, only my wife can, and I can't set up routines either. And last, there are some things I would like to be discrete to my account only - like shopping lists and reminders - but those have to be shared, so my wife’s Alexa app on her phone is getting reminders that I set up. There are some major kinks here they need to work out, but the good news is that it’s all just software fixes so GET ON IT AMAZON!

4. Routines
Another big one here. There is a well-documented glitch that people experience with Echos where the music stops playing after one song. You have to ask it to keep playing in order to keep going to the next song. If you google “echo stops playing” you will see lots of discussion around this. Well we had it happen to us as soon as we set up routines. Routines are little scripts you can set up - actions Alexa can take when certain criteria are met. This is one of the primary reasons we went with the Plus instead of the Dot. We have pets in the house and we wanted to set up a routine where the Echo would send us an alert if the house temperature got above or below a certain amount. Well unfortunately as soon as we set up the routines, the Echo started doing the thing where it stops playing after one song. So we deleted the routines and reset the Echo and the problem has not come back. But now I am afraid to set up any routines because I don’t want to deal with the music playback issue. I hope they fix this glitch because not having routines is a big drawback.

5. Alexa Guard
I was also excited to learn that the Alexa Guard feature can alert you if it hears broken glass or smoke alarm sounds. But it’s not available yet. Still waiting for that.

If I knew someone interested in buying an Echo, I would recommend they try an earlier generation Echo Dot which you can get on craigsist for $20-30 and see how you like that before spending $150 on the latest Echo Plus. Too many bugs still need to be fixed.",4.0 out of 5 stars
James Aldrich,"Reviewed in the United States on October 15, 2019","Hello All,

I received my Echo Plus on October 7th. It was so easy to set up for the most part. I plugged it in and in a few short minutes, it was online ready to play! The sound for its small size was awesome~! I wouldn't think one would want much more than that right? I purchased this unit since I wanted Alexa to speak the indoor temperature. I tried saying or doing a number of things but the indoor temperature eluded me. I imagined having a device which wouldn't need outdoor wired or wireless probes with batteries. I would already have accurate outdoor temperature info as well as the indoor temperature and no need for probes of any kind. I think I spent hours trying to get the indoor temperature to speak with Alexa. I could go into the Alexa App select the echo plus and read the indoor temperature through my phone, So why couldn't she speak the indoor temperature! I learned later that a sensor had to be activated. It's a shame that Alexa couldn't have activated the Sensor. An Amazon help person tried to tell me what I needed to find but I think I was dealing with graphics. I am totally blind and use voiceover on my IPhone. I couldn't find the sensor or anything else to activate the indoor temperature so it would speak. I watched some youtube videos but none of these helped. Perhaps I'll approach disability services to see if they know of a solution to this! I deregistered the echo plus from my account and put it back in the box. If I can't find any solution for finding the sensor and turning on the indoor temperature, the echo plus is heading back to Amazon. I'll stay with my tried and true echos.

Jim

I am happy to say that I didn’t send my Echo plus back after all! I removed it from its box before registering to my account again! At first, I couldn’t see the indoor temperature on my phone. I planned to call disability services. Four hours later, I checked my phone after selecting the Echo Plus and saw the indoor temperature again! I thought I’d get brave and ask Alexa to give me the inside temperature. I said, echo, temperature inside! She spoke it to my relief! I also said, Echo, inside temperature. She repeated it again! I was pleased! Something may not have been right in the first registration or I wasn’t giving her the right verbage! I don’t know what happened for certain! I didn’t have to activate anything! It worked right away! I didn’t call disability services. My wife has ordered another one which will be used upstairs!

Long live the echo plus! Hope this or another generation of the echo plus with built on in hub will be available for a long time! The indoor temperature is an excellent feature!

Jim",5.0 out of 5 stars
Alan,"Reviewed in the United States on December 8, 2019","Sound Quality is an improvement to the 2nd gen echo. After about 2 weeks of moderate usage at 60-70% volume the speaker has sounded better than it did day one, as most speakers need time to break-in.

Comparing it to the 2nd gen echo you can definitely hear a difference. There is a bit more low end compared to the 2nd however, I find the mid range to be more refined on the 2nd gen as the 3rd gen has more low end and high end sound.

To get this straight. This speaker isn’t meant to provide room filling rich sound as it is only a single firing 3 inch woofer and a tweeter enclosed in a compact plastic housing. If your looking at rich sounding sound docks, bose soundtouch 20 or 30 would fulfill that much better and even though those are more room filling as well, audiophiles will still find it much suited to having an actual speaker and amp setup. I myself am considered an audio snob and I love playing around with audio equipment.

I’m not going to compare the echo to a proper 7.2.2 channel setup but compare it to speakers in its class. Being that this is an Amazon Alexa Device it is a very useful tool in addition to your smartphone. I currently have 6 echos throughout the house and they do what they are supposed to do and that is having voice commands for lights and even notifications for your ring system as well as other smart devices you link to your Alexa account. Having the ability to connect Bluetooth to your phone is great as well if your not looking for a portable battery powered Bluetooth speaker.

My main reason for purchasing this echo is the new speaker which attracted me to purchasing this and I mainly use it only in the kitchen as having background music and being able to control lights and sound while working on other things. Sound is great for the kitchen and it is plenty loud enough with very balanced sound and I find the bass to be good for it’s size. I would like to put my bose soundtouch in the kitchen but it takes up too much room and I can just place this in a corner and it’s compact enough that you won’t have to worry about knocking it over. However I have setup my echo dot onto a sound dock and linked the multi room audio so I can have music playing through Apple Music in all rooms through the echos which I think is what sets this speaker apart from let’s say the much more expensive Sonos or Bose Soundlinks. Only downside I wish I could do is have Bluetooth work with multi audio instead of having to play playlists or through other streaming services on the echo.",5.0 out of 5 stars
Ritvik N,"Reviewed in the United States on February 10, 2020","I bought this mostly to supplant my 3rd gen Echo Dot (actually I'm moving that to another room) - also the fact that the Echo was on sale at a reasonably modest price didn't hurt either. For this price tag though, I would expect this Echo to slightly over-perform on 2 latest generation Echo Dots (as of current price, this Echo is a little over twice the cost of an Echo Dot) - does it deliver on this front though? My opinion is somewhat of a mixed bag on this. Keeping in mind I've only had this Echo for the weekend, but I certainly wouldn't say that it ""overperforms"" versus 2 Echo Dots. At best it probably has the power - in terms of speaker decibel and voice range, I suppose - of 1 and 1/2 Echo Dots. So possibly in the end I would peg it as worth 1.5 echo dots, when costwise its definitely around 2.5 echo dots. However, I think I wouldn't grade this Echo harshly purely for that reason. The speaker volume is still fine, and I'm not sure about the hearing range as that was a concern of mine going in - our house living room is somewhat sprawling, and sometimes echo dot can't hear me - but on the box I read it listens in a ""far-field"" range, whatever the heck that means, and overall I would say the hearing range is slightly improved over the echo dot. So already it recuperates on the 1 star that I would otherwise take off for its speaker - I would bring that down to 1/2 star down so far though.

The main minus point to me is the Alexa integration. This is truthfully not a problem with the Echo at all, but with Alexa itself. Alexa is still somewhat primitive, I would liken it to a conversational Neanderthal human I suppose, so it doesn't really do many useful things for me at present. Of the things it can do, it's sometimes frustrating to use it. To give a few examples:

* It commonly misinterprets what I would say, perhaps of my accent (I am to blame here I suppose, as well?) even though I have set up my voice profile on Alexa app. I've also set up voice profile of another household member, but when they confirm it with ""Alexa, do you know who I am?"" it responds with ""I'm not sure, but you're on <my name>'s account"". I understand it's a continuously learning and evolving software or something, so I suppose that doesn't really warrant any stars to be taken off at this point, at least by itself. The real kicker is it responds really stupidly to some common questions you might ask a (presumably) smart AI. For instance, we were worried our dog might have a concussion as she hit her head while running around in a dog park. ""Alexa, what's a concussion?"" got us some drawling utter rubbish about a movie or some piece of entertainment which we don't want to know. Follow this by an ""Alexa, stop that"", wait 2 more boring second, and follow that up with a slightly reworded ""Alexa, what's a medical concussion?"" and finally it spit it out a (reasonably) favorable answer. It still didn't give us a short abbreviated and useful headline though - Google on my phone had it beat in that regards. Another mildly annoying thing is it prefixed its long drawn out response with a ""here's, what I found, on <source>"". Alexa, goddammit it, it's a simple question, I don't honestly care where you find it. I suppose this might be useful in the interests of complete transparence, but often times I wouldn't care to hear it. I mean, I can just whip out my phone and type in ""concussion"" on Google and scroll to read the headline under the top result by the time she gets to the part of it that i want to hear. I would take off 0.5 stars for just Alexa being Alexa and inconveniencing me by either misinterpreting or just ignoring me when I ask her something (this happened to someone else in my household as well). Sometimes blue light goes when I say ""Alexa"" and it immediately turns off, sending everything else I say that follows the wake word into a black hole of oblivion, for all intents and purposes. I would just hope it gets a little more intuitive, and less stressful, to use Alexa voice control in the future.

* I set up an Alexa-sourced contact (in the Alexa app) and gave it the name, shall we say for an example sake, of ""Joodas"" (this is based on how you'd pronounce a name, here 'Judas'). I have an existing contact in my phone under the name ""Judas Johnson Barber Shop"" (just a fake name, but assume it's just anything starting with the key word). After I set this up, when I speak ""Alexa, call Joodas"" (again, spelled how you'd pronounce it) to call the new Alexa-sourced contact, I would expect it to follow through on this unambiguous command without requiring any confirmation of any sort - right? Unfortunately, Alexa is not very bright on this. Instead, it asks me, ""Judas Johnson Barber Shop, right?"" I'm a little pissed here, because I just created a contact that is spelled exactly how you'd pronounce 'Judas'. But Alexa, under no circumstances, will ever use that contact - it's fixated on my old ""Judas Barber Shop"" contact for some reason. So fast forward, me trying a couple things. I added an underscore to my existing phone contact, (foolishly) thinking it would stop Alexa from following the trial that really leads nowhere good. Instead, in response to my request to call Joodas, she instead prompts, ""underscore Judas Johnson Barber Shop, right?"" I'm slowly but incrementally getting a bit more pissed, and someone else suggests me to reorganize the words in the contact itself. So yeah, a little bit painful (and not my ideal solution at all), but I rename the said phone contact to ""Johnson Judas Barber Shop"". FINALLY, Alexa starts responding as expected when I say to call Joodas. However, I would note she does prompt me to confirm: ""Joodas, right?"" Yes, my dear Alexa, there is only one contact in my phone by that name, and I recently added it to the Alexa app itself (not even as a nickname, just the name of the contact itself!) So yeah, all in all, not my greatest experience - or my greatest moment either, judging from how I handled it. I would translate that to maybe 0.2 off my rating on this.

* Setting cooking timer with ""Alexa, set a timer for <duration>"" sometimes misfires, requiring Alexa to reprompt ""Ok, for how long?"". After timer expires, I realized after a while she does this weird thing where her blue light keeps glowing, and she plays some beep sound really really softly. For the life of me I can't understand why the timer alarm is so soft. I couldn't barely hear it one of the times, but luckily someone else hear it and they cancelled the alarm. I really have no clue why it's so hard to hear it, even on high volume.

* There are a few other issues that we might have experienced but I can't remember off the top my head.

Overall, I would giving this a rating of 3.8 / 5. But for fairness sake I have round it to 4 star, and also as most of my complaints are to Alexa and not the Echo device itself. For the Echo, I would also rate it as a solid 4. Most of the rating that I took off is due to its pricing as I do not believe it is worth 2.5 echo dots as it is currently. However, it's still a solid device and I suppose a little better than the echo dot that we previously had, at least. I don't really notice a huge difference, however. Still, can't really go wrong with a device like the Echo though - I would say that it does well for the features that it is touted to have. Overall, i would rate it as a ""meh"", but end up saying that in a slightly spirited and uplifting voice, so it's definitely a step up from the 3rd gen echo dot at least.",4.0 out of 5 stars
Cathy,"Reviewed in the United States on December 13, 2019","Sometimes when you ask a person question, Echo will but into conversation and answer even though you never said ""Alexa"". She is getting better. One thing you should know if you own any Hub whether it is an Echo, Google Home, Samsung SmartThings, or whatever people will hear you even if you think the speaker is off. I just think you should know that.

Personally, I feel since they can listen in on you with your cell phones what does it matter. You can always unplug, and turn off your internet. If you do research about this on the net try using .gov, .org. , or .edu websites. I learned in school these are more likely to be true.

So, why get a Hub? I love it because it makes life a lot easier. If I want to know anything, I ask my Google hub ( she knows more info because she is better with web searching than Alexa). If I want to spell something I ask Alexa (she is a better speller).

You can use any hub to ask about weather, how to cook something, games, read you a book, play music, news, turn on/off smart stuff like... plugs, lights, thermostats, TV, coffee makers, dryer/washers etc.... It can work smart cameras, smart beds. You can ask, is the back bedroom light on, They are coming out with new stuff for them to do all the time. I can't wait until they come out with a ""clean my house"" command. lol Also, you can call someone ( I often call my own phone because I lost it in the house lol ) ETC....

Please note, I do feel it is dangerous to let a smart device control locks, garage doors, cameras in your home, or anything else that might be a security threat. As you know there are a lot of hackers out there that are willing to take advantage of others. Even the cops are hacking ring door bells ( the Washington Post had written an article about it).

I own two of the Echo Plus (2nd Gen), one Echo Dot (3rd Gen), 2 Google Homes, and 2 Google Minis. Ok - I admit I went a little over board . lol

Things to know...

1. When you buy Alexa you can hook her up to your Amazon acct. I like doing that online when I am buying it.

2. However, once you get an Alexa, and plug it in at home, the Alexa will ask you about hooking up to your voice, to account. If you say yes, Alexa tries to sell you stuff a lot. Example: I asked for the price of Duct tape, and Alexa said, ""I put the Duct tape in your shopping cart"". So, I feel it's better just to hook it up online only, and not hook it up to your voice after you have it at your house.

3. Alexa can start off very buggy. However, if she is buggy after about 17, or 18 days Alexa works out many of her bugs.

4. If you get Alexa, I would recommend getting Prime membership. If you do have an Amazon Prime membership you will get a lot of songs. However, some you have to pay another yearly fee, on top of your Amazon Prime membership fee. Ouch!

5. For keeping cost down I feel that the Google is better.
Google Home gives you a lot of free stuff like bedtime stories, music, ETC. Where Alexa you have to pay for just about everything. The more stuff you get the more it will add up. An example is Alexa bed time stories are $79.99 plus tax a year if you are a Prime member. If you are not, it will cost you $99.98 plus tax. Again Amazon-Ouch!

However, if I had a lot of money, I think I would like Alexa a little bit better than Google. Tough call.

If you want to read more about the Google, and Alexa because you don't know what you want than read below. Hope this helps...

Compare Amazon Alexa hubs to Google hubs.

Google is easier to use because it understands more words, and phrases.

The Echo Plus sounds better than the Google Home. So, if you want great sound with Google Home, you might want to get a good speaker for it. The sound is really I'm All Bout That Bass, Bout That Bass (I mean it's all about the speaker quality). Sorry, I couldn't help myself.

You will find that there are some songs Amazon doesn’t have at all no matter what you pay. They are normally the rare songs. One example is Night Beach by Dream Singer.

While Google Home, works with every song out there that can be downloaded for free. Just pick a song you own from your iTunes, computer, or whatever song that you already paid for, and upload it yourself for free (easy to do, just YouTube it). After that you can create your own playlist.

Google has a lot more choices when it comes to making up routines. Google also has quiz games that you can have more than one player. Google ask you how many people are playing each time . Alexa does have quiz games, but they are only for one player unless you add MultiPlayer Skill. Even with adding MultiPlayer you have to ask Alexa before starting the game. If you don't ask Alexa in the right way, she gets mixed up.

Alexa has more brand name smart devices, but not more kinds of devices. Example: Alexa will work with an Foscam security camera, and Google will not. However, there are plenty of security cameras that work with both Google Home, and Alexa. So, they both work the same kind of stuff.

The Echo Plus (it must be the plus that has the thermostat in it) can tell you room temp. The Google doesn't do the room temp. However, you can buy a smart thermostat for your home to hook up to the Google. They both will tell you the outside temp.

Google tracks packages throw Gmail, so it can be ant package, but it is tricky to set a Google Home up to Gmail. Alexa tracks only Amazon packages. Alexa lets you know when you have a package at your door from Amazon by a lighted ring on top of the device.

I feel Alexa can be nosey, and rude. One example: Once it asked me if I had a tattoo, and I said that's a personal question. Then it asked ""what kind of tattoo do you have?"" Then I said you shouldn't be asking questions like that. Then it said that it wanted a black bird tattoo.

The point is that It assumed that I had a tattoo, and would not drop the subject. It will ask you a lot of questions if you let it, so it knows what stuff to try to sell you. I have learned to watch what I say, so there is not as much sales pressure. Also, I say ""Alexa Stop"" about two or three times in a row. That way it stops talking.

The Home Google is very polite. Also, it doesn't try to sell stuff to you. I hope Home Google stays that way.

Both Alexa, and Home Google have improved over time, and still are improving. They will keep trying to outdo each other. I do like having both of them. I hope this helps.",4.0 out of 5 stars
