Profile Name,Date,Data,Star
Bruce E. Munck,"Reviewed in the United States on February 10, 2024","Hue first impressions. The box arrived a few minutes ago and it felt heavier than I expected it to, but maybe, I thought, that was because of the included bridge. Upon opening the box I found three bulbs packaged beside each other. I removed the upper cardboard piece and below it was the fourth bulb along with the bridge, power supply, cords, and instructions. This was where I realized that the weight wasn't only the bridge: these bulbs are wonderfully heavy! I have a pack of four Fovaa bulbs and the whole pack doesn't weigh as much as a single Hue bulb. I haven't even put power to a Hue bulb yet and I already feel confident in what I have purchased. Next I opened the instruction booklet; and as professional as everything else in the box feels, I was disappointed with the instructions. They are basically a collection of stick drawings with no textual guidance whatsoever. I was not daunted, though, since there is so much help available online.

The Hue bulbs are more expensive than the bargain brands and I wondered why until I began researching them. Philips uses Zigbee radios in their bulbs and bridges which increases the cost significantly. And after holding one of the bulbs in my hand I could actually feel the difference in quality compared to the other bulbs that I own (Fovaa). Until I actually put these bulbs into service I can't comment on their function, but I expect to be very satisfied with them. My Fovaa bulbs work very well, although when set to blue or green they are not as bright as I think they should be. I am expecting much better brightness with the Hue bulbs. I have read that Wyze makes some really good bulbs in terms of color output that rival the Hue bulbs. Still, the Hue bulbs are constructed differently and are able to do some things that the others evidently cannot do. Once I have these lights going and I have a chance to put them through their paces I will report back with some updates. I'm anxious to try a simulated fireworks display and am hoping that four bulbs are enough to do it. Some of the scenes and animations require more than four bulbs to get the color mixtures right, but I think that a fireworks display could be done using white plus three other colors. At least a small fireworks display. I'll let you know when I have tried it.

Edit 2-12-2024
OK, I have the lights up and running and I can give you a little more insight now. First of all, if you look at the many photos of Hue lights you will know exactly what to expect in terms of color. These bulbs have colors that are full and rich yet are mellowed a bit as they are made to provide ambience to a space instead of producing stark coloring. You can get very deep blues, greens, and reds, and still have good brightness. A word that comes to mind is pastel, and yet the colors can be much deeper than pastel; in fact, the room color can become very red, very blue, very green, and yet still maintain some small bit of pastel quality. Again, I'd say look at a lot of the available pictures and you will know. In contrast to this, my Fovaa bulbs give very dark blues, reds, greens with no mellowing at all. There is no way to brighten the Fovaa bulbs when those colors are cranked to the maximum and maybe that is as it should be. Then again, I have read articles that claim Wyze bulbs have more intense colors than Fovaa bulbs (in fact they are ranked close to the top of all bulbs in that category) and also have more brightness; so it may be more a matter of design. If you want absolute, saturated, bright colors with no compromise you might want to try the Wyze bulbs; however, if you want lights that are tailor made for enhancing the atmosphere of your living spaces I can't imagine a better choice than Hue lights. I want to reiterate here just how good the bulbs feel in the hand, and after screwing them in and setting them up how good they look in action. Something else to touch on is that there are numerous apps available in addition to the official Hue app that can add to the functions your Hue lights can perform. The fireworks display I referred to above is in one of those apps: the app is called ""hueDynamic"" and the fireworks is under the Experiences heading. The fireworks display cycles your bulb colors mimicking real fireworks. The colors ramp on and off at speeds that seem realistic and your room is bathed in a frenzied display of light. Now that I have tried it I probably won't ever use it again, but hey, these lights can do that! Some other, more restful effects on the menu are flickering candles and a fireplace. If I actually had a fireplace I could see myself using that to enhance the natural flicker of flames. The candles...maybe I will use that one, maybe not. The animations can actually be rather distracting. The ambience settings are probably the most useful, but I should tell you that it is better to have the bulbs located next to walls so that the reflected light can add to the overall effect. I have mine temporarily in a ceiling fan in the middle of the living room and looking up at the light you can see all four bulbs with different colors and it doesn't look so good. Eventually they will be relocated to individual lamps around the room where they should provide a much better experience.

If you buy any bulbs other than Hue bulbs you will be tied to one single app: the official app from the manufacturer of the bulbs. Or you may be limited to tying in to Alexa and the set of skills available because your choice of bulbs doesn't even have an app. With Hue bulbs you have many choices of apps, and you will find that Hue apps, even the third party apps, have a level of professionalism not found in apps for other bulbs. Yes, Hue bulbs cost more...but you will get what you paid for. Top quality, great looking light, an almost endless list of ways to use them; Hue bulbs are probably the very best you can buy.",5.0 out of 5 stars
mgf_db5,"Reviewed in the United States on April 13, 2024","I use this primarily for rotating illumination when nobody is at home (using the App's Automation feature). It is easy to setup the Bridge and update the firmware. For ease of identification, I recommend setting up one bulb at a time. The App (for Android) works very well. I use it for three rooms and a carport. If need be, it is easy to override Automation. It is well thought out and simple to control.",5.0 out of 5 stars
Kyle Margerum,"Reviewed in the United States on August 1, 2020","I’ve wanted some of the lights for a long time!

This is actually my second shipment of the same product, because the wall plug was bent on the first one. Amazon sent me a new one, and it works like a dream.

Let me start by saying I put these lights in my bedroom and bathroom. My bathroom has a slot for four lights, but I only put two in. I had been using the type of lights that get really hot, which isn’t what you want when you like to take hot showers. Plus, they never got that bright, so really, what’s the point? I figured using two in my bathroom would probably be equivalent to the amount of light I was already getting, so I went for it. You know those really nice, well lit bathrooms in magazines? They must have been using Hue lights, because just two lights on the “energize” setting can illuminate the furthest corner. Man, I need to clean now!

My bedroom lights are the “fun” lights. I’ve been playing with the dimmer and colors for the past day. You can make both bulbs the same color, or you can make each a different color. If you can imagine it, Hue can do it. I’ve only scratched the surface of what they can do.

I don’t integrate my smart devices with Alexa, even though I have two Echos. I do it through the HomeKit app on my iPhone, so I can’t speak for how it works with Alexa, but Siri does a pretty good job. The only thing that’s bothersome is I keep wanting to flip the light switch! I’ll have to get one of the Hue dimmers at some point.

If you’re looking to put a little pizzazz in your home, I’d definitely recommend getting this kit and trying it out. The bulbs are expensive, so it’ll be a gradual integration. Pick a room or two you spend most of your time in, and screw these bad boys in and have some fun!",5.0 out of 5 stars
Pranay Tewari,"Reviewed in the United States on July 22, 2024",I love and it’s the best,5.0 out of 5 stars
Toby,"Reviewed in the United States on February 16, 2024",Great addition for any home!! Fairly easy setup and user friendly to make your home the exact brightness or dimness you prefer. And a choice of color tones.,5.0 out of 5 stars
Marc,"Reviewed in the United States on December 8, 2023","Philips Hue is by far the best lighting you can get. I’ve tried several other brands and the quality just doesn’t compare. That being said, the Philips Hue app is abysmal. The UI and automation controls are a complete mess. Seriously, trying to do something as simple as turning lights on or off at a specific time becomes mind boggling. If you dare introduce a motion sensor, all of your automations are suddenly worthless. I’m at the point where I’ve joined their developer program just so that I can create my own app to control my lighting. Maybe in a few months I’ll finally be able to make my lights function the way I want.",4.0 out of 5 stars
Raymond Johnson,"Reviewed in the United States on May 26, 2024",All the scenes are pre-made and easily to customize makes it fun to see what you can do with without the worry of messing something up.,5.0 out of 5 stars
Jeff,"Reviewed in the United States on January 2, 2023","I have been using the Philips Hue A19 LED Smart Bulb and the whole setup for over a year and I am extremely happy with my purchase. One of the things I love most about these bulbs is the ability to change the color of the lights based on the time of day. In the morning, I have the lights slowly turn on to help me wake up naturally and a bright white during the middle of the day to keep me focused! At night, I have the schedule setup to turn the lights off automatically via the app when it's time for bed.

In addition to the convenience of being able to control the lights from my phone or Alexa, I also appreciate the endless customization options where I can set them each to a different color or ""scene"" as Philips calls it. It's great for a wind-down at night as it lets you dim the light, or change colors to green and red for a holiday party.

Overall, I highly recommend the Philips Hue A19 LED Smart Bulb Starter Kit to anyone looking to add some smart lighting to their home. It's been a game changer for me and has greatly enhanced & automated my daily routine.",5.0 out of 5 stars
Timothy Dayao,"Reviewed in the United States on August 14, 2024",Philips does make a really reliable smart lightbulbs. Just FYI: this is a refurbish item. I thought I was buying a new one. But the device works with no issue.,4.0 out of 5 stars
Marc,"Reviewed in the United States on August 9, 2024","I have my house outfitted with Hue lighting and other devices controlled via Google Home. Recently, I purchased a set of four white/color 1100 lumen bulbs, but only one would connect to my bridge. To troubleshoot, I bought a 'starter kit' with four more bulbs, wondering if my bridge was full or outdated. Surprisingly, two bulbs from the new set also wouldn't connect to the new bridge. The bulbs that did connect did so very quickly, while those that didn’t connect required manual entry of their serial numbers for multiple attempts. I received four additional bulbs, and these connected immediately.

After a lot of swapping and rotating near the bridge, using both the automatic find option and the serial number method, I managed to connect eight of the bulbs, but interestingly, not to the new bridge. Before starting, I had updated both bridges to the latest firmware, and they were identical. In the end, while I love the rich color depth and reliability of Hue lights, this experience has made me question the quality of the newer models. Has anyone else experienced similar issues? Additionally, I used the third-party app 'Hue Essentials,' as well as various YouTube tutorials, to connect and reset the bulbs.",3.0 out of 5 stars
