Profile Name,Date,Data,Star
Kaidesa,"Reviewed in the United States on June 4, 2024","More and more I've been finding myself surprised by TP-Link and their smart-home offerings. This is no different. The lightbulbs are exceptionally easy to get going and to pair. And they don't flash weird colors prior to setup like every other smart bulb I've used.

Unlike most other smart bulbs, I just shoved this thing, set it up in my app, and was on my way. This thing was detected by Amazon in my Alexa app almost immediately, and voice control was rather effortless (minus the typical quirks with voice control) for the most part.
Colors as well as different white modes were easy to select, very easy to tell apart color-wise, and rather vibrant. Not as vibrant as some other brands, but the ease of use and ability to use with Home Assistant without needing to flash firmware or mess with anything more advanced easily make up for that, in my opinion.
Did I mention that it works with Home Assistant? Kind of a huge buying point for me these days. Control seems to be local despite me needing to have an account. As of the time of me writing this review, I currently have these on a VLAN in my network, unable to speak out, and they still work flawlessly.",5.0 out of 5 stars
Kevin,"Reviewed in the United States on June 15, 2024","Solid product. The colors are spot on. I especially like the different shades of white through the day if you set them to adjust with the time.
Tried other bulbs w Alexa and they either didn't work at all or had to be reconnected all the time. What a pain!
I definitely recommend these as smart bulbs for use with Alexa but...
The first several bulbs I purchased, I checked the box at checkout to link them to my Amazon/Alexa and bam! They setup immediately with Alexa. I didn't have to use the manufacturer's app.
However, I bought another set, checked the same box at checkout, and they did not connect using Alexa.
So I downloaded the manufacturer's app and set one up and it broke the connection with all the previous bulbs and Alexa. I couldn't even delete the original ones from the Alexa app.
So I...
-Disabled the skill from the manufacturer's app within Alexa
-Set up all the bulbs using the manufacturer's app
-Deleted the Alexa app from my phone and reinstalled it (don't worry, everything is still there once you log in)
-Re-enabled the skill in the Alexa app
All the lights showed up in the Alexa app again. Everything was good in the Alexa app as far as routines and everything else, except the lights. I had to re-add the lights to the existing routines.
So I would suggest setting up the bulbs in the manufacturer's app FIRST and enable the skill in the Alexa app.
I hope this is helpful :)",5.0 out of 5 stars
Austin,"Reviewed in the United States on August 15, 2024","I have used several different brands of cheap smart home wifi direct products. TP-Link has hands down been the most reliable. Wemo-too many frequently required updates in-order to operate. Feit Electric- Wont stay connected to Wifi. Geeni- Wont stay connected to wifi. The only con I have had with TP-Link is occasionally I would have one that is difficult to setup in the first place. But once it is setup, I have very very rarely had any problems when trying to use them. MAYBE one issue in 6 months when trying to turn a bulb or plug on versus the previously mentioned competition averaging 3 issues PER MONTH. I am slowly transitioning to TP-Link only smart products.",5.0 out of 5 stars
Krish,"Reviewed in the United States on January 2, 2024","I purchased this couple of months ago and 3 out of 4 bulbs started malfunctioning within 3 weeks or so. One challenge with these bulbs is that they work only on 2.4 ghz wifi and if your mobile is on 5 ghz, you will have challenges to operate. Kasa app shows these bulbs as offline if you are on 5 ghz. I had to change my mobile wifi settings to use only 2.4 ghz for this to work.
I contacted kasa warranty support and Natasha did understand the issue quickly and helped with replacement. I sent the malfunctioning bulbs back to their rma processing hub and awaiting to receive a new set of bulbs. Hope they work well. Just wanted to thank Natasha for all the help and support throughout this process. 5 star rating to the kasa warranty support team, especially Natasha.",4.0 out of 5 stars
Jade,"Reviewed in the United States on July 21, 2024","I have 4 bulbs and 2 smart plugs now and they all work great. Connects to the wifi & Alexa with ease, super bright light, great price & look nice too!",5.0 out of 5 stars
"Everything arrived in perfect conditions, glasses seems to be high quality and durable for long shifts.","Reviewed in the United States on July 30, 2024","easy way to brighten up your home with customizable, dimmable lighting. Change colors and adjust brightness to set the perfect mood, all with simple voice commands through Alexa or Google Home. With 1000 lumens of brightness, it’s as powerful as a 60W bulb but much more energy-efficient. Seamlessly control your lighting from anywhere using your smartphone. The Kasa Smart Bulb is a great addition for anyone looking to make their home smarter and more convenient.",5.0 out of 5 stars
LCS,"Reviewed in the United States on June 10, 2024","The Kasa app for iPhone and Android works very well; getting used to never flicking the switch on the outlet is important; teaching older clients to not flick multiple times means a LOT as if you flick it on/off a set number of times in a row, it factory resets the device, something I'm not a huge fan of.
The integration with Alexa and Apple HomeKit is well done, and the integration with Android is far less so; one of the key components missing in the Google integration is that you're pretty bound to one user being able to use the voice to turn on/off devices, whereas on Alexa/Homekit, it is easy to have multiple users do so.
Color change options matter. There are some brightness settings, but even at full bright you are talking the equivalent of about a 45W LED, so don't have expectations of a bright bulb. The base of this bulb also runs hot in comparison to several non-smart LED, which I assume is to be expected; after purchasing more than 48 of these, this has been a constant so I can't say it is a ""one-off"" experience. Will it impact longevity? That's hard to say.
The wifi range of these devices is spectacular for what they are; in fact, I've managed full functionality on these devices via wifi where signal is not available for laptops/etc. Really impressed by whatever they are doing there.
In comparison to competitor products, I ended up using TP-Links because of cost and general implementation. I do wish they would tie reset to a button press/etc. on the bulb itself instead of ""flick your light switch 3 times fast"" which is too easy for an installed bulb to be accidentally reset after you equip a smart home. With that being my only real complaint, I'd recommend.",5.0 out of 5 stars
Æx Yair Cortex,"Reviewed in the United States on December 4, 2023","Ever wish you could create a specific mood or atmosphere in your home just by flipping a switch? Well, with a dimmable color-changing light bulb that works with Amazon Alexa and Google Assistant, you can! These bulbs are the ultimate way to add style and function to any room in your home.
One of the most striking things about these bulbs is their ability to change color. They come in a wide range of different tones, from warm whites to cool blues, making it easy to find the perfect shade to match your home's decor. Want a cozy, relaxing atmosphere? Choose a warm white or amber tone. Looking for a more vibrant, energetic look? Try a cool white, purple or blue. With so many shades to choose from, you can easily switch up the look and feel of your room in an instant.
Another great thing about these bulbs is their ability to dim. With a simple twist of the switch, you can take your light from bright and vibrant to soothing and subdued. This is perfect for setting the perfect mood for a relaxing evening or reading in bed.
Perhaps the most exciting feature of these bulbs is their compatibility with Amazon Alexa and Google Assistant. With simple voice commands, you can control the lighting in your home without even lifting a finger. You can dim or brighten the lights, change the color, or even create a custom scene for a specific time of day. It's the perfect way to add a touch of sophistication and tech to any room in your house.
But it's not just about the technology, these bulbs are also designed to be energy efficient. With LED technology, they use up to 80% less energy than traditional incandescent bulbs, making them both cost effective and environmentally friendly. Plus, with a lifespan of up to 25,000 hours, these bulbs can last for years without needing to be replaced.
One of the best things about these bulbs is their ease of use. There's no need to hire an electrician or install cumbersome wiring, you can simply screw these bulbs into any normal light fixture and start enjoying the benefits immediately. This makes them perfect for those who want to add a touch of style to their home, without the hassle of a major home renovation project.
In addition to their ease of use, these bulbs are also designed to be incredibly durable. Made from high-quality materials, these bulbs are built to last for years without any risk of breaking.",5.0 out of 5 stars
Mark L.,"Reviewed in the United States on July 26, 2024","I bought 6 Kasa KL125 bulbs on Prime Day. I knew that they would return to the last on state after power was removed then reapplied. I was hoping I could make that work. I called Kasa and discussed it with an agent and then got an e-mail for more info. Within two days Kasa released new firmware, 1.0.6 (Beta) for KL125, that added a feature that when selected causes the bulb to go to the state is was at when power was lost. If it was off, it is off after power returns. If it was on when power is lost, it will be on when power returns. Game changer. You can still control it by a wall switch with a different selection. They also added fade on and fade off with multiple time selections. Of course all the color selections, brightness, schedule and scenes are there and real easy to setup. For the price, I plan to buy more. This is some of the best customer service I have received in a long time. No more bright lights in the middle of the night after a power interuption!",5.0 out of 5 stars
Alexandria Velez,"Reviewed in the United States on September 2, 2024","Love it! I got them yesterday and was able to install them in my bedroom and office. It was easy through the app instructions. I recommend installing one bulb and pairing it with the app at a time so there is no confusion and if one bulb doesn’t blink to go into pairing mode, you need to switch the light on and off five times, so I recommend installing one bulb at a time. Works seemlessly so far!",5.0 out of 5 stars
Larry H.,"Reviewed in the United States on July 26, 2024","I have several Kasa products in my house (switches, plugs, and now light bulbs), and they are so easy to connect and program. I use the Kasa app to connect, and the Alexa app does all the programming. There is a bit of a learning curve (with both apps), but once you learn it, you’ll have no issues. Two of the lights are outside the garage, but as long as you have Internet connection, you’ll have no issues. I have tried other Alexa compatible products, and none work as well or as easily as Kasa. Plus, they are less expensive than the Alexa brand products.
Disclaimer: I need no disclaimer, because I purchase all my own products, and I don’t get paid to write reviews. This is a true and accurate account.",5.0 out of 5 stars
Angela G. Bean,"Reviewed in the United States on August 8, 2024","While housesitting for my daughter, I fell in love with the convenience of this lights. She had 8 bulbs in lamps throughout her house and I was able to control using the Kasa app on my phone. So, I ordered for myself and was so excited to have them, but I couldn't get these bulbs to sync with my home wi-fi. I did all the troubleshooting suggested and just couldn't make it happen. So, sadly I returned the bulbs that worked so great at my daughter's house.",4.0 out of 5 stars
Nicole Danielle Switzer,"Reviewed in the United States on August 11, 2024","These were easy to connect to Alexa app. The Kasa app kept saying it could not find my device, but they were already connected to the Alexa app, so I didn’t care - the plan was to manage them through the Alexa app anyway. The various colors are bright and fun! I was able to put them in my pendant lights in the kitchen and in my living room lamp. When I decide but nightstand lamps, I’ll buy these bulbs for them. Good price for smart bulbs.",5.0 out of 5 stars
Jonathan,"Reviewed in the United States on September 1, 2024","Great light to add ambiance in any room. The wide variety of colors to choose from. Syncing your lights with the app can be a bit frustrating but once you’ve figured out the connection process, it’s pretty easy to install.",5.0 out of 5 stars
Victoria B.,"Reviewed in the United States on July 27, 2024","This set of smart bulbs is great. They connected very quickly with minimal hassle. They have stayed connected even after losing power or the internet being out for a bit. The response time is snappy, whether using the Kasa app on my phone, using the Alexa app on my phone, or using Alexa voice controls from my Echo. The last set of smart bulbs I ordered from Sylvania failed on all points listed above, and emitted a very high pitched whine when not actively lit - for anyone experienced with tinnitus, you know just how infuriating that noise can be, especially at night! These bulbs are completely silent.",5.0 out of 5 stars
Jaime,"Reviewed in the United States on August 27, 2024","They work so well, as expected! and the app is very useful, I already use other other Kasa devices so is great to have everything in the same place. I only needed one for my room but I have the other 3 as a backup.",5.0 out of 5 stars
Brion Bell,"Reviewed in the United States on May 4, 2024","Do you like to set the 'mood' with lighting? I do. Now, for a 'senior' person, I'm pretty 'techie.' I have purchased at least 4 or 5 different brands of these 'smart' bulbs. But I always come back to the Kasa products. They are not crazy expensive, (as are some of the lesser-performing brands), but they are consistent. Best of all, they don't require a person to have some kind of technical engineering degree to set them up! My wife, who is DEFINITELY NOT A TECHNICAL PERSON, asked me if she could try to set one of these up. I told her, ""Ok, but I'm not going to help you. Let's see if you can do it!"" So, I gave her the bulb and the instructions, and off she went to the table lamp beside her sofa in the living room. She took less than two minutes to read the instructions before she screwed the bulb into the socket and got her Android phone in front of her. She downloaded and installed the Kasa app and began the process. I watched as she got the light to blink by turning the light switch on and off a few times, then poke her phone a few more. Then, it went off and came back blue, then green, the brighter, then dimmer. The whole process performed by a (defiantly) non-technical person took less than 8 minutes and with no words that would be unsuitable for your children's kindergarten class!
After that, she spoke to the Amazon 'Echo' device, ('Alexa'), to turn it on whenever she sat down in her favorite spot to read or watch TV.
Since then, she has asked me for more of these bulbs...
She asked me for another one!",5.0 out of 5 stars
