Profile Name,Date,Data,Star
José Mundo,"Reviewed in the United States on August 8, 2023","My kids love these light bulbs because they can turn them to the color that they want depending on the mood and occasion. The color that they like the most is the blue one.

Going to technical stuff:
1. They only connect to 2.4GHZ wifi which is not good, and in may case even worst, because the network that works the best in my house is the 5.0 GHZ one
2. From time to time they get disconnected or starts to work erratically. The solution turn the light off and on again
3. Connecting and configuring them is really easy",5.0 out of 5 stars
Tyler Carbonelli,"Reviewed in the United States on July 23, 2024","We recently got a few Wyze Bulb Color four-packs, and these bulbs are amazing! They are super bright at 1100 lumens, way brighter than the usual 800 lumens we had before. They can also dim down to 30 lumens, so we can get the perfect lighting for any mood.
With 16 million colors to pick from, it’s easy to set the vibe for any occasion, from game days to chill wine nights. The Wyze app makes it really simple to change colors and create custom presets for quick scene changes. Plus, the white light temperature control is great for cooling down the light for focus or warming it up for relaxation.
The 90+ CRI rating is fantastic, making colors look more vibrant and accurate. It’s been a lifesaver in the closet, where I no longer mistake navy for black. The bulbs also have cool notification features, allowing us to set time-based color events or automate them with other Wyze devices for handy visual alerts.
Our whole house now has Wyze light bulbs in each room, along with our Wyze air purifier, Wyze plugs, Wyze Robot Vacuum, and Wyze hand vacuum. Having all these Wyze products has turned our home into a super smart and convenient space.
Overall, these Wyze Bulb Color smart bulbs are bright, versatile, and fun to use. They’ve really improved the lighting in our home, and I highly recommend them for anyone wanting to upgrade their lighting!",5.0 out of 5 stars
zoomlittlewing,"Reviewed in the United States on June 20, 2023","We replaced all of our stand alone light bulbs in our house with Wyze bulbs over the last 6 months. We love our movie nights, dates nights and evening wind-downs thanks to these bulbs. They truly can create almost any color you can think of and we love that the brightness and tone is adjustable with just a few tweaks. The dimming feature allows for me to stay up reading with my bedside lamp on while my husband turns off his bedside lamp sleeps.
Solid 4 star product - easy to install, easy to pair and easy to set up on the app (there may be a learning curve if you’re not very familiar with how modern-day mobile applications pair with devices).
The reason it’s not 5 stars is largely because the developer software updates being buggy. Sometimes it won’t connect to their devices at all, or it will connect but have a lag time for any adjustments you make or making adjustments can crash the app. The only way to fix this is you have to uninstall/reinstall it. Fortunately it doesn’t erase your devices or history, and it only happens every few months (lately haven’t had issues), so it’s not the end of the world.
We were also shocked it’s not compatible with Siri, but works with Alexa and other voice command apps. We didn’t even think to research this when researching since the iPhone is the leading mobile device out there. That seems like a huge miss on the Wyze development team’s part - its clear they don’t want to pay Apple’s ridiculously high fees in the App Store and for Siri development APIs. Hopefully, they will one make the investment and upgrade their app to include it.",4.0 out of 5 stars
Alison,"Reviewed in the United States on September 28, 2023","I bought this bulb when I was looking for a sunrise alarm clock, but I couldn't find one with the functions I wanted in my price range. I knew I wanted to be able to set it on my phone in case I wanted to wake up at a different time one day. I really like the sunrise function on this bulb. I can easily set it on my phone and have it only run the sunrise on weekdays (or days of your choice). Although I can't set more than one time on different days, it's easy enough to change if I need to. I don't think I would wake up from the sunrise alone, but I use it in a floor lamp, so it may work if you had it closer to your face. I set a regular alarm and start the sunrise at the alarm time, and have it end by the time I hit snooze a couple of times. I do feel more awake at the end of the sunrise. If you have the sun color match setting on, the sunrise comes all the way up to a bluer daylight and then resets to the sun shade for the time of day.
I also really enjoy the sunset feature. I run it while scrolling on my phone and by the time the sunrise is over, I know it's time to go to sleep. I even feel sleepier at the end of the sunset than I do without it. You can set the length of time you want the sunset to span (same with the sunrise). The shortest amount of time is 20 mins, but I wish I could set it for a speedier 10 min sunset when I want a quick unwind.
The app is easy to use, and if you have other Wyze products, they all live in the same app. I recommend setting up a widget for your home screen for easy on/off. It's super convenient to turn the light on from another room when you're walking to your room at night, or turn it off if you forgot to when leaving the room.
I haven't used too many of the other fun colors, but from playing around with them they are really cool! You can set any color you want and the app even has color and brightness options for different moods. The bulb is bright enough to light a decent sized room in a floor lamp, though the cooler colors seem brighter than the warmer colors. It's very easy to play with the color wheel to pick your perfect color/warmth and brightness though.
Overall, this bulb exceeded my expectations for the sunrise function I was looking for, and I'm enjoying playing with the other color and mood options as well! I never thought I would write such a long review for a lightbulb, but I'm really loving it that much.",5.0 out of 5 stars
Cory,"Reviewed in the United States on August 25, 2024","I want to like these, the concept is great, change color, dim the lights, by using an APP or voice command, so I bought 20 and put them all over my house.... Bad IDEA!!!! It has been more trouble than the benefits. I have already had to go through customer support to exchange at least 4 light bulbs and now I am just throwing them away, waste of money, time and frustration.
A few example's of the fun that awaits you
1 out of 6 lights in a fixture will not turn on sometimes
1 out of 6 lights in a fixture will not turn off sometimes
1 light out of a group will decided it no longer wants to match the other colors no matter what you try
1 light out of a group will just stop working
Oh no you forgot and used the light switch once and now when you turn them on or off using voice command, or the APP, you will play Russian roulette with them, because in random order all but one of them will work.
These are good if you only want to use one or two of them in a fixture and don't mind replacing them potentially within a year.",1.0 out of 5 stars
Wm D. S.,"Reviewed in the United States on January 27, 2022","I bought two of these, one for my wife's lame and one for mine. She loves them! We put them on the color or our favorite sports teams while watching games and we both love that we can turn them on and off from anywhere. For example, we can turn them on in the living room from bed in the morning when it's still dark out so we don't have to turn on overhead lights along the way. Or at night we leave them on when we leave the couch on our way to bed and then turn them off once we are in our bedroom. Heck of a lot better than stubbing your toes walking around in the dark looking for light switches!!! The only suggesting I have for these would be if we could put them on some kind of random color mode so they would just adjust on their own. Instead they are constantly whatever color you set them to and have to be manually adjusted. It can't listen to music and make cool color changes or anything like that either. It's just a wireless remote controlled light bulb that you can change the color on using the app. It also has a vacation mode but doesn't say what the timing will be for that. It also lacks a timer mode which would be cool if you could set it to turn on and off with different colors at different times of the day. Over all it's probably a waste of money but we like them.",5.0 out of 5 stars
Robert A Fogg,"Reviewed in the United States on August 29, 2024","I bought 8 wyze color bulbs, 2 4-packs, and of those initial 8, 18 months later, only 3 remain. 1 stopped changing color and would only turn on green. 3 have stopped communicating with the wifi and are non responsive and one connects and shows as there but doesn't light. I'll be switching to other products that have longer lifespan guarantees. When a standard LED bulb can last for decades it's ridiculous that an IoT bulb doesn't last for 2 years...",3.0 out of 5 stars
Joshua Frasher,"Reviewed in the United States on November 23, 2023","The Wyze Bulb Color has truly elevated my lighting experience with its exceptional features. The 1100-lumen brightness provides ample illumination, creating a vibrant and inviting atmosphere in any room. The dimming capability allows for versatile control, effortlessly transitioning between different moods and activities with a simple adjustment.
One of the standout features is the absence of flickering or blinking during operation. The steady and consistent light output enhances comfort and prevents eye strain, making it ideal for prolonged use. The reliability of the Wyze Bulb Color instills confidence, ensuring a stable and enjoyable lighting experience.
The fit into my smart home ecosystem was seamless, thanks to its WiFi connectivity. The Wyze app facilitates convenient control, allowing me to manage the bulb's color and intensity with ease. The appearance of the bulb is sleek and modern, adding a touch of sophistication to my living spaces.
In summary, the Wyze Bulb Color excels in providing a bright, versatile, and comfortable lighting solution. Its dimming capabilities, flicker-free operation, and stylish appearance make it a standout choice for those seeking both functionality and aesthetics in smart lighting.",5.0 out of 5 stars
Vikki,"Reviewed in the United States on August 30, 2024",Initially a pain to hook up. One bulb was a cinch but the 2nd bulb refused to sync up and work with Alexa. Called customer service. The gal I spoke to wasn't the friendliest person I've ever dealt with but she was tenacious and kept working at walking me through (repeatedly) all the steps until it finally decided to work correctly. I'm happy with the white color of the bulb - it's very very bright white; unlike other smart bulbs I've had.,4.0 out of 5 stars
Some Guy,"Reviewed in the United States on August 30, 2024",Awesome little light bulbs easy to set up very nice,5.0 out of 5 stars
