Profile Name,Date,Data,Star
PT Cruiser,"Reviewed in the United States on November 4, 2017","We purchased our first Echo in November of 2014, 3 years ago this month. She was the hit of our Thanksgiving dinner celebration that year but could do only a fraction of what she is capable of today. We added smart bulbs like the Philips Hue white and colored bulbs, GE Link and TP Link bulbs, smart plugs, smart wall switches, and smart device timers. We added them over the years as they became available on Amazon. (And on sale!) We had to purchase hubs to run the Philips and GE bulbs when we first started adding bulbs. The 1st Gen Philips hub worked well for about a year and then started having problems with disconnecting from the network and not playing nice with Alexa. Philips finally replaced it under warranty. The Wink hub which controlled the GE bulbs has always worked flawlessly. But whenever we changed our network password, we had to go around and reset all the bulbs, often having to re-register some of them and then go into the Alexa app and have her rediscover them. Perhaps not a big deal when you’re only using a couple bulbs, but a real time waster when almost every bulb in a large 2 story house is a smart bulb.

This Echo Plus allowed me to disconnect the hubs and control everything with Alexa alone. She didn’t discover the bulbs right away. I had to go in and deregister them from their hubs and then rediscover them and add them to the Plus. But now they work flawlessly. Let me tell you how I did that. In your Alexa app, click on the little menu thingie in the upper left hand corner which will open a drop down menu. Select Smart Home from the menu. You’ll see a page showing devices, groups and scenes. Click on the little ? In the upper right hand corner. This will open a page with instructions and clickable commands for deregistering a list of different devices from their hubs and having Alexa discover and connect them to the Echo Plus. It’s a little bit of a pain to have to go around and get serial numbers off the bulbs or turn others on and off, but you only have to do it once, then Alexa has them. And it isn’t difficult. No more running upstairs to push the button on the Philips hub to get bulbs to respond. No more extra hubs sitting around consuming electricity. And no more dealing with the clunky Philips Hue app (If you don’t believe me, go read the reviews for that app.)

Now that everything is connected through Alexa, I have set up Routines to turn a few of our lights on and off and specified times. (Voice commands can still be used to override a routine and they don’t interfere with your routine the next time it is scheduled.) I can also turn them on and off remotely from the Alexa app. I have a routine set for our kitchen Alexa so that when I say, “Alexa, good morning” she will turn on one of the kitchen smart bulbs at 50% brightness and the other at 100% brightness and read me the local weather report. Our bedroom Alexa has a routine that is triggered when I say “Alexa, start my day”. She turns on one of the lights at 20% and reads my morning news flash. How cool is that? Here’s how you set up a routine:

1. Go to the menu and select ""Routines.""
2. Select the + icon.

From here, you can specify when Alexa will do something, and what it will do.
-- Select ""When this happens"" to pick a scheduled time for the Routine to run, or enter a word or phrase that will activate it.
-- Select ""Add action"" to select what the Routine will run. You can add multiple actions, one at a time.
-- Once you have selected a “cue” and an action, select the device you want the Routine to play on.
-- Select ""Create"" to save the routine.

Groups are also a great feature. You can Group your Echo and Dot device’s together in a group, give the group a name, and then tell Alexa, “Play my <Bruno Mars> playlist on my <downstairs> group. She instantly starts to play it on all the devices in the group. You could also play a single song or a radio station like iHeart or Pandora. We have a large family room/kitchen combo with the Plus on a desk about midway in the room and a Dot connected by 3.5mm Cable to a Heos speaker, with excellent sound. We put the two in a group. The sound is amazing! It’s better than stereo, especially with the new Plus. The Plus is slightly stronger on the treble than the 1st Gen Echo. The Heos is strong on bass. They sync perfectly with each other and never miss a beat. BTW, I rarely used the Heos except for parties before we got the Dot because I was so spoiled by controlling music by voice on our Echo. It was much better than using an app to control the Heos. Now the Heos is used all the time since I can use it with Alexa. Grouping with the Plus makes it that much better. We can also add Echos in other rooms to the group, which we do when we have people over. We can now have the same music playing in the living room/dining room as in the family room. They are easily added-or subtracted in the Alexa app.

Like the regular Echo, this Plus can control all of our white bulbs and the the Hue color bulb by voice, including changing the colors to any color I can think of (pink, teal, red, blue, purple, aqua, etc.) dimming to any percentage and on/off and adding them to routines or group. For example, I can say, “Turn on the downstairs lights” and Alexa will turn on every light I’ve added to that group. The Plus controls our smart plugs and switches just like the regular Echo did and we add those to groups as well. Bulbs, switches and plugs can be a part of several different groups. (The group Holiday lights turned on all the LED lighted pumpkins and orange lights on our banisters when we said, “Alexa, turn on the holiday lights.”

We can also use this Plus like the other Echos, to Drop In on our other rooms. Since we have Echos in just about every room we now have a home intercom system that works beautifully.

We’ve watched Alexa get smarter and smarter almost weekly, from that first day with her 3 years ago. I have no doubt that she will continue learn new skills to make our lives even easier and more fun. (Did I mention that she can switch our older LG TV to PlayStation Vue streaming through our Amazon Fire TV device and start and pause shows by voice through either the Echos or Fire TV remote? Yeah, we dumped our satellite TV provider and now pay less than half with live and recorded streaming. But that’s for another review!)",5.0 out of 5 stars
Stephanie Sullivan,"Reviewed in the United States on October 11, 2018","The Echo Plus Gen 1 is a great addition to my smart home. It gives me all my original Echo provides plus lets me eliminate my Philips Hue hub and works with all my other Z-wave devices. The Gen-1 form factor is almost identical to the original Echo but with a faster processor and integrated hub. Nice!

I love my Echo/Alexa. Voice control of my smart home and other Amazon devices plus response to information requests (what's new, etc.) and nearly endless entertainment options have made this an integral part of my home life. As an early adopter of the original gen-1 Echo I have been very impressed by how Amazon continues to improve existing operation, add new features and new capabilities.

I got my first Echo in March 2015. Since then I've seen a lot of new capabilities added:
+ A constant integration of more services like Pandora, traffic and Amazon Radio stations
+ Connected home control now with the integrated Z-Wave device hub and control of WiFI smart home devices like those from Belkin and TP-Link.
+ integration with IFTTT (if this then that) service for triggers and actions
+ integration popular services like Google Calendar and much more
+ integrated Amazon purchase/ordering

The list keeps growing. It's part of the beauty of a product that's mostly in the Amazon cloud. New features and capabilities are not dependent solely upon the computing and storage of the Echo device itself.

The Echo is also a very nice bluetooth speaker. It pairs readily with multiple devices - phone, computer and even my Amazon Fire TV so it can provide an enhanced audio experience. With some devices control of tracks can controlled by voice like skip or repeat, etc.

Another essential part of the Echo is the FREE Amazon Echo App . I have it installed on my Kindle Fire HD 8.9in and on my iPhone 6. This provides simple setup and configuration of services and integration with supported connected home devices. It also provides the mobile part of the todo and shopping lists.

The Echo has been a game changer for my home experience. This Echo Plus even more so. It's the closest thing I've used to a computer you can just speak to and be understood - like on the old Star Trek series. I wonder how I lived without it!

I gotta give the Echo Plus 5 stars. Not just for how good it is but in anticipation of all the new things that will surely will come along soon.",5.0 out of 5 stars
Amazon Customer,"Reviewed in the United States on August 8, 2024",Bought this in 2017 and keep it in the kitchen. Found it to be really useful for quick cooking questions and the sound quality when listening to music was surprisingly good. The slim size of the appearance makes it great for having it on the counter In the corner. With it still working just like new I'd say it's high quality,5.0 out of 5 stars
wildwoodla,"Reviewed in the United States on December 19, 2017","There are many excellent reviews of the new Echo Plus here, so this review is from the POV of someone with limited connection infrastructure, e.g., very rural area, no internet or cable, only satellite service offered, but no signal due to heavy tree cover, beginner smart home user. I never dreamed an Echo would work for me, much less the Echo Plus or smart home. I broke down & purchased an Echo on Prime Day June, 2017 just to try. I receive my internet service solely through an AT&T Velocity hotspot device, typically with only 1 bar of service. I was so excited that the Echo worked perfectly & decided to go out on another limb, purchasing the Echo Plus w/included Hue bulb on Cyber Monday, as well as a Fire TV Stick, figuring I was really pushing the envelope that any would work. All devices worked perfectly! I now have the meager beginnings of a smart home as well as Alexa functionality. I can't tell you how surprised I am! There is an 8-device limit for the hotspot, so wi-fi smart devices are out of the question for me & not sure I have enough signal for any to work anyway. Using the Echo Plus as my only hub, the included Hue bulb connected in seconds, while also tying in with my 1st Echo. So I can use either of the 2 Echos to control the light bulb, connected to a lamp in my living room. What is ideal for my situation is that the Hue bulb does not ""count"" as a wi-fi device, so does not go toward my device count/limit on the hotspot. Apparently, it is connected directly to the Echo Plus hub. Currently, with one bar of hotspot service, I'm running the Echo Plus, Echo, Fire tablet, Fire TV Stick & Galaxy Express 3 cell, & every now & then, an Echo Tap--all at one time with excellent results! Everything works as if I have hard wired cable or internet, which is simply amazing. Movies, music, etc. run flawlessly.
ALEXA - I don't have a lot of space on my cell, so all I need is the Alexa app to control the bulb when away from home, no need for a separate app AND I already have the Alexa app on my tablet & of course, use Alexa on both Echo's & a Tap.
SMART HOME - The Echo Plus has opened up the smart home market for me. Although it appears limited to the Zigbee IoT protcol, the available choices are varied enough that there are switches, more bulbs, door locks & plugs I'll be able to use now. This thing just came out, so as time goes by, I'm sure more & more skills & IoT stuff will become available. I'm sure the folks at Amazon will make improvements to capabilities as well. And I can do it all with just 1 Echo Plus - no need for additional hubs or devices with my limited internet!
SOUND - I found my 1st Echo sound pretty decent. I am by no means an audiophile, but IMHO Echo Plus sound greatly improved over the Echo. Much richer, more robust & MUCH better bass - yay! My 1st Echo sounds ""tinny"" now, compared to the Echo Plus.
I am beyond delighted with the performance of the Echo Plus & kudos to Amazon for this ""upgrade"" to the Echo. I would highly recommend the Echo Plus, especially for those just entering the smart home market with internet challenges. I LOVE MY ECHO PLUS!!!!!",5.0 out of 5 stars
Troy,"Reviewed in the United States on November 2, 2017","When I saw Amazon had chosen to put a ZigBee hub in an Echo, I was excited. When I saw they were adding easy setup and a wealth of smart home features to the Alexa App, I did not hesitate, I pre-ordered the Echo Plus, and I am glad I did.

First up, is unpacking and configuration. The box seemed difficult to get into, I wasn't sure which side was the top, and if it opened like a jewelry box or not, so I just ripped it open. That was the most complicated part of configuring the Echo Plus. Seriously, you plug it in, the ring does its hypnotic, “you will buy everything on Amazon” dance until the device shows up in your Alexa App. You follow the prompts and tap and go.

The first thing I did after configuring was ask Alexa to play a Bob Dylan radio station. I have a Big Jambox as my around the house and yard speaker. The Jambox is so good, I never looked for another Bluetooth speaker, so it, and my giant Polk RTI A9 towers are my reference for the Echo Plus. I was initially disappointed. Bob sounded like he was playing on my bedside clock/radio, but it was an old track. My go-to test song for audio systems is Finally Woken by Jem. The Echo Plus did an adequate job with the bass. It plays loud, which seems to be how it overcomes its shortcomings. It actually sounds better when I am in an adjoining room. I blame the Bose tweaking. Given time to loosen-up, it will be a good enough speaker, better than the Big Jambox. If someone gets clever and joins a subwoofer to the Echo Plus, maybe through the audio out port, it could be a really good three-way setup. But I didn't buy the Echo Plus for the audio.

I have been a smart home enthusiast since the early 90s. What? Yea, way back in the dark ages a system called X10 did most of what you can do now. You had to set dials on the plugs to assign them to buttons on the remote. You could make scenes by grouping switches to special buttons on the remote and they even had a universal remote that you could train to your TV and VCR. My system had door sensors, a siren, and a dialer to call me if something happened at home. My lights were on timers set through the remote, or dials on the ""smart"" plugs. It all worked without an internet connection or intrusive account signup.

Fast forward fifteen years and not much changed, so I tried the Piper. A security camera as a hub matched my security focused X10 past, and Z-Wave looked like a successor to X10. The piper has been acceptable, but is retired as a smart home hub as of today.

Next up was the Nest. The “learning when I am home and away” feature had promise. I imagined a world where my smarty-pants thermostat would turn on lights and unlock doors for me when I arrived home. But, the “Works with Nest” never bore fruit. An endless array of devices promised to tell Nest I was home, but not the other way around. When the Nest (after working fine for eight months) put my HVAC into an endless restart mode on the coldest day of the year, I decided the Nest was an idiot and replaced it with my old “smart” thermostats that had worked fine for a decade.

The last four years have seen an endless amount of smart home announcements with promise, but few actual products that didn’t come with lots of baggage. The biggest bag being a dedicated hub, and the carry-on (so to speak) application and dedicated account to control that device. I didn't want to go down that road, so I have waited and watched while my Piper faithfully managed the table lamps I have plugged into the two Z-Wave plugs that came with it. If I had acted on my impulses, I would have at least three hubs and five applications for my “smart” home, and to make it all work together I would need yet-another-account on IFTTT. The DIP switches and dials of X10 were friendly by comparison. (If your $200 smart home product needs a third party service to make it smart, your product is not worth $200).

Back to the Echo Plus. By the time I had removed a Z-Wave plug from a table lamp and screwed in my new Hue bulb, Alexa informed me I had a software update. The Echo Plus rebooted itself and I said, “Alexa, find smart home devices.” Forty seconds later the Hue bulb was working through voice commands given to the new Echo Plus or my Dot in another room.

As an experiment, I moved the bulb to different lamps around the house to see if losing power would force me to set it up again. It did not.

When you configure devices Alexa names them in a simple “light 1”, “light 2” manner. You must change the names in the Alexa application to make them more meaningful. Once you do, Alexa understands the new name.

The Groups and Scenes features are tabs on the same screen with Devices. Once you have a few devices configured, (I recommend doing one at a time so you can name them as you go) you can group them to work with a single command. I don't have to say “Alexa, turn on entry light,” then “Alexa turn on fireplace light,” to light my living room. After making the Living Room group I can say “Alexa turn on the Living Room.”

Routines are on a different screen in the Alexa App. Go to Settings to find it. This was the first hiccup in my experience. I wanted to configure a “bed time” routine, but the lights action said, “turn on” the light and I did not see an obvious way to turn the light off. Turns out, you just tap the light bulb icon to switch the mode to off. Now I am happy. When I say, “Alexa bed time,” I get the current temperature, and my assigned lights turn off. Perfect.

I have seen reviewers complaining that you cannot control color temperature of lights with the Alexa App. Of course the same reviewers practically fell out of their shorts when Alexa skills allowed you to say things like ""Alexa, tell Nest to set the temperature to 72."" True, you can't do everything the Hue App does, but to get Hue App like control, I would need to add a Hue hub. No, just No. AND, who wants to pay $40 for a light bulb when you can get them $14 (4 dumb LEDs are now $12). Seriously, I paid $19 for my first dumb LED bulb, now I can get two smart bulbs for the same price. If color changing becomes available through the Alexa App later, and I don't need another hub, I will consider a color bulb at that time.

What about thermostats? Well, my thermostats are fifteen years old. They have a weekday and weekend schedule and have never left me in the cold like the Nest did. Because of my Nest experience, I won't buy another “smart” thermostat until I see one available with “Simple setup with Echo Plus.” Ideally one that I don't have to create yet-another-account to adjust the temperature in my home.

And door locks? OK, I am old. I have been using door locks with ten-key pads on them since I was a teenager. They are a great alternative to carrying a bunch of keys. Especially when it is a long walk back to the workshop with your keys. I don't see the advantage of having to pull out my phone to unlock a door. If you are at all security conscience then you would need two smart locks for each door, one for the dead-bolt and one for the door knob (I have not seen an integrated unit yet, if there is one, let me know because I would be interested.) Maybe when a smart door unlocks and opens for me as I approach I will be more excited.

And cameras? I don't have any, yet. The Piper detects motion and monitors my doors with Z-Wave sensors. It records to the cloud when an alarm has been tripped. It does not require a paid subscription. I will keep it for my security system until I see a better alternative. I have looked at Arlo because I think the best value comes with exterior cameras, but I am concerned with their slow response times. I can imagine ZigBee door sensors triggering alerts and recordings on a linked camera. That would be a less intrusive option than something recording 24/7.

This is my Smart Home Mantra going forward: A single application to control all my devices, no more hubs, and the ability to use a voice command to configure my new devices. For me, when it comes to the smart home platform, Amazon has a winner on its hands with the Echo Plus. We know from the original Echo experience that Amazon will be aggressive in pushing new features to the Alexa App. I look forward to those updates and the future purchases those updates will enable.",4.0 out of 5 stars
getsomesleep,"Reviewed in the United States on July 20, 2018","Incredible piece of technology.
I have this right center of my living room on an island kitchen counter. The mic and speaker goes in every direction and the quality of the sound is quite good. I connected the Echo via Bluetooth to my Sony soundbar on my TV but find the Echo placement and 360 sound more appealing. It's no audiophile equipment but there is good range and decent bass. The sound is more than adequate for any indoor entertaining and loud enough to bother neighbors in my building. The knob on the top works great for adjusting volume. This is my first Echo device and I would imagine having to press volume buttons (on the Echo 2) a large inconvenience and not as precise. For that alone I would recommend this over the regular Echo (2nd generation).

The piece looks quality and is quite sturdy with some weight on it. The rubber material on the bottom has a good grip on the granite counter-- my cat can even rub her scent on it without tipping it over.

This order came with a free Philips Hue Bulb which I installed along with an extra one I bought. I put the 2 bulbs into my living room floor lamp, turned on the light, and all I had to do was say ""Alexa, connect my devices"". The default names for each bulb was assigned as ""First light"" and ""Second light"", so I can have a dimmer floor lamp if I just turned on/off one of the lights by saying ""Alexa, turn off the second light"". In the Alexa app, I created a 'Group' with ""First light"" and ""Second light"" and named the group ""The light"", so to turn on the lamp with both bulbs shining I just say ""Alexa, turn on The light"".

I was surprised how easily the bulbs connected to the Echo Plus with its built in hub. I thought I would have to buy a hub bridge to connect to my floor lamp power plug. Apparently there is some technology built directly inside the bulb! I was surprised by that. Awesome.

You will feel like Tony Stark on this device. I added quite a few ""Skills"" like 'Thunderstorm sounds' and 'Quote of the day' . Alexa always loads them up quickly. Adding songs that you hear to specific playlists on Amazon Music is also a great feature.

I can go on and on and this is only my second day of ownership.

I was lucky to buy this for $100 on Prime Day, but I think for $150 is it pretty expensive considering the Echo 2 is only $100. In my opinion, you will be paying a premium for the Echo Plus and you have to decide if the value is there for you:
1) Taller and 360 sound unit.
2) Volume knob on top that you spin (I think this is a huge benefit over buttons)
3) Built in hub for Hue bulbs. After researching more, there are some cons to this setup if you plan on having more advanced light setups. For me and my floor lamp, it's just perfect.

I highly recommend it and will buy an Echo dot for my bedroom now.",5.0 out of 5 stars
JourneyRane,"Reviewed in the United States on July 7, 2024","1st Generation but still going strong, loud, and great speaker too.",5.0 out of 5 stars
Kindle Customer,"Reviewed in the United States on November 29, 2017","I purchased this product to control the lights in my house. I wasn't really sold on getting a product like this but I figured that for the price it was about the same as getting ZigBee only hub and I got all the voice features too. I currently have this Echo Plus set up with 2 echo dots and most of my main lighting using Sengled BR30 bulbs and Cree A19 bulbs. I was able to set up groups that allowed me to turn on all the lights in the room each Echo is in just by saying ""Alexa, Turn on the lights"". I can also control each light individually using the bulb name (on, off, set the brightness) or any group just by using the group name form anywhere in my house using voice control. The Alexa app is pretty simple and there are plenty of skills available for things the Echo does not already do on its own. I also have it connected to my Wemo Light switch and Wemo smart plugs (both are Wi-Fi devices and are first set up using the Wemo App).

Aside from the home automation, there are many other uses for this product. The speaker is pretty good so listening to music is fine on this. It's not the quality of my Sonos products but I wouldn't expect that at this price (although it does allow me to control my Sonos play 3...). It is great for getting quick answers just by asking. You can get get help in the kitchen with measurement conversions, ingredient substitutions and recipes. I found the timer function to be useful and the alarm function is nice too.

I purchased this during the Black Friday sale and got a Philips Hue bulb and a TP-Link Smart plug with it. Both were easy to set up and work just fine. I'm happy with my purchase and think it is a great addition to my home.",5.0 out of 5 stars
RPL,"Reviewed in the United States on November 3, 2017","If you already have an Echo, I'm not sure there much, or any reason to upgrade to this new echo. First, for those people buying this Echo in order to get rid of your current hubs, that may or may not be possible. If you have a Hue hub, this Echo Plus is not a direct replacement for it. In addition to bulbs, the Hue hub supports motion sensors, dimmer switches, and tap switches. It also supports Apple Homekit. If you deregister your Hue peripherals from the Hue hub, and try and connect them to the Echo Plus, while the bulbs will connect, the motion sensors and dimmer switches will not. Also, you will lose Apple Homekit support. You will also lose all the automations the Hue hub supports like sunrise to sunset and other automation. Also, if your internet goes out, your Hue hub will continue to work and you will be able to control your lights with the Hue app. If your internet goes out, the Echo Plus will not be able to control your lights by voice, or the Alexa app. Lastly, all the 3rd party Hue apps are designed to work with the Hue bridge, not the Echo Plus. So, those apps will also not work.

If your current hub is Z-Wave, then the Echo Plus will also not be a direct replacement for it. You will need to keep that hub as well the Echo Plus does not have a Z-Wave radio in it. If you want to do simple things like turn a ZigBee bulb on and off, and dim it, then the Echo Plus works fine. If you want to do more complicated scenarios, then you will need to keep, or buy a another hub. Since Zigbee is the only protocol that is supported at this time, you need to look for light bulbs, and some other peripherals, that use that protocol in order for it work with the Echo Plus. But with that said, there will be some devices that use Zigbee that will still need their manufactures hub to work. So, again, it will not be as simple as looking for a ZigBee device and expecting it work with the Echo Plus. Since there is currently no supported list of devices, trial and error is going to be your best bet in trying to figure out which ZigBee devices work with the Echo Plus and which do not.

As for sound, that part if more subjective. I like a little more base in my music. The Echo Plus sacrifices bass for treble in this new design. So, to me, it does not sound as great as the previous Echo. To me, it sounds a little flat. My old Echo sounds much richer and fuller than the Plus. So, if you like your music with more bass, then you might be disappointed here as well.

Apart from the above, the Echo Plus does everything the old Echo does, so I'm not going to repeat everything here as you can read about those features in reviews of the last generation Echo. The microphones on the Echo Plus seems more sensitive to the previous generation though. It appears to be able to hear me more, even when the music is turned out loud. Where the old Echo had issues doing that. Also, the Plus has a 3.5 mm audio jack. Therefore, you can more easily connect it to your stereo, external speakers, etc. with a wire, if Bluetooth is not an option.

So, all in all, the Echo Plus is good device, but I don't think it's that much better than the previous generation to warrant an upgrade. If an upgrade is wanted, then depending on you hub needs, the smaller newer Echo might be the better choice. If you are new to the smart home arena, then try and figure out what you want your smart home to do, then pick the best system(s) that get you want you want. Don't assume the Echo Plus will solve all your smart home needs.",3.0 out of 5 stars
Carnage Reviews,"Reviewed in the United States on May 21, 2024","Ah, the Echo Plus with built-in Hub, 1st Generation—White. A relic from a simpler time when Alexa's voice summoned more chaos and less... eye-rolling indifference. It's dependable, sure, and it does its job well enough: controls your smart devices, answers your banal questions, and occasionally plays a tune to drown out the screams. But honestly, does anyone even care anymore? With newer models on the loose, this one's starting to feel like yesterday's carnage. Still, it gets the job done without whining. Four stars for functionality, minus one for the slow, creeping sense of irrelevance.",4.0 out of 5 stars
